rango,parola,frequenza,lemma,pos,pos_def
622,unica,956,unico,ADJ,adjective
2250,marie,211,mario,ADJ,adjective
2252,corrente,211,corrente,ADJ,adjective
3012,deserto,152,deserto,ADJ,adjective
2005,politica,240,politico,ADJ,adjective
3016,urgente,151,urgente,ADJ,adjective
2050,siegfried,233,siegfrie,ADJ,adjective
2593,fido,179,fido,ADJ,adjective
2595,uguali,178,uguale,ADJ,adjective
4320,mutande,99,mutanda,ADJ,adjective
2866,italiano,161,italiano,ADJ,adjective
2897,eccezionale,159,eccezionale,ADJ,adjective
2907,media,158,medio,ADJ,adjective
2910,francisco,158,francisco,ADJ,adjective
4906,vulcaniani,84,vulcaniane,ADJ,adjective
2933,sbirro,156,sbirro,ADJ,adjective
2948,brillante,156,brillante,ADJ,adjective
2582,furbo,180,furbo,ADJ,adjective
4471,prepari,95,prepario,ADJ,adjective
2956,incubo,155,incubo,ADJ,adjective
461,piccolo,1399,piccolo,ADJ,adjective
2853,incarico,162,incarico,ADJ,adjective
2988,affetto,154,affetto,ADJ,adjective
1857,antichi,264,antico,ADJ,adjective
4569,popolare,92,popolare,ADJ,adjective
1471,darti,348,darto,ADJ,adjective
4380,spiritoso,97,spiritoso,ADJ,adjective
4397,gentili,97,gentili,ADJ,adjective
4296,disponibile,100,disponibile,ADJ,adjective
465,buongiorno,1386,buongiorno,ADJ,adjective
629,vivo,947,vivo,ADJ,adjective
4992,edie,83,edia,ADJ,adjective
632,generale,943,generale,ADJ,adjective
3044,fedele,150,fedele,ADJ,adjective
3052,geloso,149,geloso,ADJ,adjective
458,felice,1420,felice,ADJ,adjective
2849,onesto,162,onesto,ADJ,adjective
2847,romantico,162,romantico,ADJ,adjective
2841,video,162,video,ADJ,adjective
2597,sally,178,sally,ADJ,adjective
2605,infermiera,178,infermiera,ADJ,adjective
2614,pari,177,pari,ADJ,adjective
2631,piacevole,176,piacevole,ADJ,adjective
4395,insetti,97,insetto,ADJ,adjective
2648,giapponese,175,giapponese,ADJ,adjective
2649,ebreo,175,ebreo,ADJ,adjective
534,serio,1153,serio,ADJ,adjective
2670,ovvio,173,ovvio,ADJ,adjective
2672,minimo,173,minimo,ADJ,adjective
3000,vidi,152,vido,ADJ,adjective
2997,junior,153,junior,ADJ,adjective
2160,quarto,220,quarto,ADJ,adjective
2994,pago,153,pago,ADJ,adjective
2166,temporale,219,temporale,ADJ,adjective
4226,rinforzi,102,rinforzo,ADJ,adjective
2199,nota,216,noto,ADJ,adjective
3023,negativo,151,negativo,ADJ,adjective
4717,blue,89,bluo,ADJ,adjective
2235,assurdo,213,assurdo,ADJ,adjective
3837,taci,114,taco,ADJ,adjective
493,migliore,1276,migliore,ADJ,adjective
495,difficile,1273,difficile,ADJ,adjective
2817,messico,164,messico,ADJ,adjective
2001,principale,241,principale,ADJ,adjective
3746,dicessi,118,dicesso,ADJ,adjective
2812,sospetto,164,sospetto,ADJ,adjective
2778,cinese,167,cinese,ADJ,adjective
1822,basso,270,basso,ADJ,adjective
2774,folle,167,folle,ADJ,adjective
749,futuro,767,futuro,ADJ,adjective
2822,avessimo,164,avessimo,ADJ,adjective
1812,famoso,272,famoso,ADJ,adjective
1045,accidenti,528,accidente,ADJ,adjective
2786,spettri,166,spettro,ADJ,adjective
509,strano,1219,strano,ADJ,adjective
1519,intelligente,338,intelligente,ADJ,adjective
1278,meraviglioso,409,meraviglioso,ADJ,adjective
1311,reale,400,reale,ADJ,adjective
1149,rosso,468,rosso,ADJ,adjective
3730,sottofondo,118,sottofore,ADJ,adjective
865,aereo,651,aereo,ADJ,adjective
1454,stanco,351,stanco,ADJ,adjective
1810,naturale,272,naturale,ADJ,adjective
1825,credimi,269,credimi,ADJ,adjective
2836,legale,163,legale,ADJ,adjective
1829,breve,269,breve,ADJ,adjective
1216,veloce,438,veloce,ADJ,adjective
1964,centrale,247,centrale,ADJ,adjective
1992,nervoso,242,nervoso,ADJ,adjective
418,bravo,1561,bravo,ADJ,adjective
1461,sceriffo,349,sceriffo,ADJ,adjective
904,pieno,620,pieno,ADJ,adjective
1236,schifo,425,schifo,ADJ,adjective
1500,americano,343,americano,ADJ,adjective
1261,intero,416,intero,ADJ,adjective
1268,cattivo,412,cattivo,ADJ,adjective
1189,prue,452,prue,ADJ,adjective
885,freddo,632,freddo,ADJ,adjective
883,gentile,633,gentile,ADJ,adjective
2689,panico,172,panico,ADJ,adjective
1276,blu,410,blu,ADJ,adjective
1238,francese,424,francese,ADJ,adjective
2782,agnese,167,agnese,ADJ,adjective
1279,inutile,409,inutile,ADJ,adjective
497,ultima,1266,ultimo,ADJ,adjective
2711,cellulare,171,cellulare,ADJ,adjective
813,buonanotte,702,buonanotta,ADJ,adjective
2728,eccellente,170,eccellente,ADJ,adjective
1853,interno,264,interno,ADJ,adjective
1209,triste,442,triste,ADJ,adjective
2666,prigionieri,173,prigioniero,ADJ,adjective
1291,andrò,406,andre,ADJ,adjective
982,grosso,567,grosso,ADJ,adjective
3148,dimentichi,144,dimentico,ADJ,adjective
859,incredibile,656,incredibile,ADJ,adjective
542,cane,1125,cana,ADJ,adjective
1095,tranquillo,496,tranquillo,ADJ,adjective
1123,gamba,482,gambao,ADJ,adjective
1092,dura,498,duro,ADJ,adjective
1363,prometto,381,prometto,ADJ,adjective
540,cara,1137,caro,ADJ,adjective
1386,barca,373,barca,ADJ,adjective
1388,lupo,372,lupo,ADJ,adjective
1836,locale,267,locale,ADJ,adjective
1442,stamattina,354,stamattina,ADJ,adjective
1444,contrario,354,contrario,ADJ,adjective
1445,terzo,353,terzo,ADJ,adjective
1446,presente,353,presente,ADJ,adjective
1059,nero,521,nero,ADJ,adjective
2381,simpatico,198,simpatico,ADJ,adjective
2683,sufficiente,172,sufficiente,ADJ,adjective
2532,rose,185,rosa,ADJ,adjective
2536,occhiali,185,occhiale,ADJ,adjective
2544,sessuale,184,sessuale,ADJ,adjective
1727,vincent,290,vincente,ADJ,adjective
2414,maiale,195,maiale,ADJ,adjective
864,libero,651,libero,ADJ,adjective
4306,adam,100,adam,ADJ,adjective
1330,pericoloso,392,pericoloso,ADJ,adjective
1139,povero,471,povero,ADJ,adjective
925,impossibile,602,impossibile,ADJ,adjective
990,contento,563,contento,ADJ,adjective
993,santo,562,santo,ADJ,adjective
996,speciale,559,speciale,ADJ,adjective
1067,personale,513,personale,ADJ,adjective
1066,pubblico,513,pubblico,ADJ,adjective
1004,bordo,554,bordo,ADJ,adjective
1005,idiota,552,idioto,ADJ,adjective
1008,billy,549,billy,ADJ,adjective
1012,dolce,546,dolce,ADJ,adjective
1018,diverso,540,diverso,ADJ,adjective
2540,franchi,185,franco,ADJ,adjective
1065,necessario,515,necessario,ADJ,adjective
1060,bianco,521,bianco,ADJ,adjective
1043,normale,529,normale,ADJ,adjective
1030,umano,533,umano,ADJ,adjective
2576,indiani,181,indiano,ADJ,adjective
1082,caldo,502,caldo,ADJ,adjective
1449,colpevole,353,colpevole,ADJ,adjective
918,ottimo,606,ottimo,ADJ,adjective
914,interessante,609,interessante,ADJ,adjective
1040,simile,530,simile,ADJ,adjective
1323,ufficiale,396,ufficiale,ADJ,adjective
897,terribile,624,terribile,ADJ,adjective
4307,vice,99,vice,ADJ,adjective
1292,ale,406,ale,ADJ,adjective
4325,invisibile,99,invisibile,ADJ,adjective
1885,vuoto,258,vuoto,ADJ,adjective
1887,preoccupato,257,preoccupato,ADJ,adjective
716,pazzo,802,pazzo,ADJ,adjective
1897,magnifico,255,magnifico,ADJ,adjective
1919,peggiore,252,peggiore,ADJ,adjective
710,alto,807,alto,ADJ,adjective
2489,sonny,188,sonniry,ADJ,adjective
707,perfetto,811,perfetto,ADJ,adjective
706,inglese,812,inglese,ADJ,adjective
1922,disturbo,252,disturbo,ADJ,adjective
726,fantastico,791,fantastico,ADJ,adjective
1457,sposa,350,sposo,ADJ,adjective
1956,particolare,248,particolare,ADJ,adjective
1962,neeli,247,neele,ADJ,adjective
1360,animali,383,animale,ADJ,adjective
760,porto,751,porto,ADJ,adjective
1770,convinto,280,convinto,ADJ,adjective
1769,corte,280,corto,ADJ,adjective
823,brutto,690,brutto,ADJ,adjective
1525,comune,337,comune,ADJ,adjective
498,dovrei,1265,dovre,ADJ,adjective
2882,attraente,160,attraente,ADJ,adjective
1955,potente,248,potente,ADJ,adjective
1772,responsabile,279,responsabile,ADJ,adjective
1528,grave,336,grave,ADJ,adjective
815,prossima,699,prossimo,ADJ,adjective
1588,mangiato,318,mangiato,ADJ,adjective
1608,orribile,313,orribile,ADJ,adjective
1628,capace,310,capace,ADJ,adjective
3514,batte,127,batta,ADJ,adjective
1651,ubriaco,303,ubriaco,ADJ,adjective
1665,enorme,301,enorme,ADJ,adjective
1767,improvviso,280,improvviso,ADJ,adjective
3522,sentirti,126,sentirto,ADJ,adjective
1752,finale,284,finale,ADJ,adjective
4196,positivo,103,positivo,ADJ,adjective
1743,debole,288,debole,ADJ,adjective
4316,ripley,99,ripley,ADJ,adjective
1990,chicago,243,chicago,ADJ,adjective
1728,v,290,v,ADJ,adjective
778,semplice,738,semplice,ADJ,adjective
780,divertente,738,divertente,ADJ,adjective
781,avresti,736,avresto,ADJ,adjective
1715,denti,292,dente,ADJ,adjective
1696,verde,293,verde,ADJ,adjective
1720,militare,291,militare,ADJ,adjective
3062,incantesimo,148,incantesimo,ADJ,adjective
1557,innocente,328,innocente,ADJ,adjective
1540,massimo,334,massimo,ADJ,adjective
3082,norbit,147,norbit,ADJ,adjective
804,stupido,710,stupido,ADJ,adjective
3536,contanti,126,contante,ADJ,adjective
4853,adorabile,86,adorabile,ADJ,adjective
2751,sopporto,168,soppriro,ADJ,adjective
3978,disgustoso,110,disgustoso,ADJ,adjective
3551,parenti,125,parente,ADJ,adjective
3983,alieno,110,alieno,ADJ,adjective
4788,musicale,87,musicale,ADJ,adjective
3071,criminale,148,criminale,ADJ,adjective
3990,spaziale,109,spaziale,ADJ,adjective
4477,is,95,isre,ADJ,adjective
4024,sesto,108,sesto,ADJ,adjective
4026,sano,108,sano,ADJ,adjective
3972,majka,110,majka,ADJ,adjective
2271,navetta,208,navetto,ADJ,adjective
4772,ubriaca,87,ubriaca,ADJ,adjective
4108,ribelli,105,ribelle,ADJ,adjective
4117,patente,105,patente,ADJ,adjective
4131,elenco,105,elenco,ADJ,adjective
4143,vitale,104,vitale,ADJ,adjective
4146,tecnica,104,tecnico,ADJ,adjective
4154,prezioso,104,prezioso,ADJ,adjective
175,ii,4001,ii,ADJ,adjective
4754,fidarti,88,fidarti,ADJ,adjective
4750,grace,88,grace,ADJ,adjective
4038,elettrica,108,elettrico,ADJ,adjective
4807,azzurro,87,azzurro,ADJ,adjective
214,grande,3267,grande,ADJ,adjective
4813,alternativa,87,alternativo,ADJ,adjective
267,giusto,2583,giusto,ADJ,adjective
3676,volante,120,volante,ADJ,adjective
3194,conoscerti,142,conoscerto,ADJ,adjective
260,sicuro,2673,sicuro,ADJ,adjective
3743,frankie,118,frankie,ADJ,adjective
3622,teas,122,teasre,ADJ,adjective
3768,pastore,117,pastore,ADJ,adjective
3781,complesso,117,complesso,ADJ,adjective
4613,orgoglioso,91,orgoglioso,ADJ,adjective
3617,centesimi,123,centesimo,ADJ,adjective
3807,calci,116,calci,ADJ,adjective
3822,elegante,115,elegante,ADJ,adjective
3869,stretta,113,stretto,ADJ,adjective
233,bella,2984,bello,ADJ,adjective
3873,savannah,113,savannah,ADJ,adjective
3876,quassù,113,quassù,ADJ,adjective
3883,missile,113,missile,ADJ,adjective
3884,mentale,113,mentale,ADJ,adjective
223,nuovo,3121,nuovo,ADJ,adjective
3923,brusio,112,brusio,ADJ,adjective
3929,super,111,super,ADJ,adjective
3821,farô,115,farô,ADJ,adjective
4814,vivente,86,vivente,ADJ,adjective
3267,operai,138,operaio,ADJ,adjective
1581,utile,320,utile,ADJ,adjective
1729,scorsa,290,scorso,ADJ,adjective
767,segreto,747,segreto,ADJ,adjective
102,vero,7524,vero,ADJ,adjective
4458,tipico,95,tipico,ADJ,adjective
4651,noioso,90,noioso,ADJ,adjective
4672,delizioso,90,delizioso,ADJ,adjective
4466,scatole,95,scatola,ADJ,adjective
4501,schifoso,94,schifoso,ADJ,adjective
4502,scambio,94,scambio,ADJ,adjective
4505,proiettile,94,proiettile,ADJ,adjective
4641,stufa,90,stufa,ADJ,adjective
4638,vascello,90,vascello,ADJ,adjective
4598,anthony,92,anthony,ADJ,adjective
1563,ricco,326,ricco,ADJ,adjective
4632,caporale,91,caporale,ADJ,adjective
4675,concentrati,90,concentrato,ADJ,adjective
4385,rodney,97,rodney,ADJ,adjective
4746,inevitabile,88,inevitabile,ADJ,adjective
4742,lnvece,88,lnvece,ADJ,adjective
4249,violento,101,violento,ADJ,adjective
4941,estranei,84,estraneo,ADJ,adjective
3369,precedenti,133,precedente,ADJ,adjective
1881,tedeschi,259,tedesco,ADJ,adjective
4879,internazionale,85,internazionale,ADJ,adjective
3218,black,141,black,ADJ,adjective
4657,leggera,90,leggero,ADJ,adjective
3166,interessato,143,interessato,ADJ,adjective
4430,mobili,96,mobile,ADJ,adjective
4418,sensibile,96,sensibile,ADJ,adjective
4718,benedetto,89,benedetto,ADJ,adjective
4356,pugnale,98,pugnale,ADJ,adjective
4367,evidente,98,evidente,ADJ,adjective
4368,elvis,98,elvis,ADJ,adjective
4713,degno,89,degno,ADJ,adjective
4297,comunista,100,comunista,ADJ,adjective
3365,sheppard,133,sheppard,ADJ,adjective
3669,complicato,121,complicato,ADJ,adjective
3275,familiare,138,familiare,ADJ,adjective
3299,adatto,137,adatto,ADJ,adjective
355,salve,1829,salvo,ADJ,adjective
353,primo,1839,primo,ADJ,adjective
3310,recente,136,recente,ADJ,adjective
3311,pasquale,136,pasquale,ADJ,adjective
3315,fresco,136,fresco,ADJ,adjective
3347,chiudo,135,chiudo,ADJ,adjective
4974,pessimo,83,pessimo,ADJ,adjective
3656,quinto,121,quinto,ADJ,adjective
4292,lily,100,lily,ADJ,adjective
4267,geniale,101,geniale,ADJ,adjective
4254,sordo,101,sordo,ADJ,adjective
4253,stivali,101,stivale,ADJ,adjective
4667,federale,90,federale,ADJ,adjective
4428,pacifico,96,pacifico,ADJ,adjective
3462,lauren,129,lauren,ADJ,adjective
4599,animo,92,animo,ADJ,adjective
3526,quaicosa,126,quaicoso,ADJ,adjective
3446,capite,130,capite,ADJ,adjective
3456,preciso,129,preciso,ADJ,adjective
3356,gelato,134,gelato,ADJ,adjective
3244,manchi,139,manco,ADJ,adjective
3242,occupo,139,occupo,ADJ,adjective
3083,nazionale,147,nazionale,ADJ,adjective
3109,civile,146,civile,ADJ,adjective
3120,pura,145,puro,ADJ,adjective
3122,originale,145,originale,ADJ,adjective
401,vecchio,1635,vecchio,ADJ,adjective
3126,infelice,145,infeole,ADJ,adjective
4916,rischioso,84,rischioso,ADJ,adjective
3131,destro,145,destro,ADJ,adjective
3143,muriel,144,muriel,ADJ,adjective
4976,offeso,83,offeso,ADJ,adjective
3161,nobile,143,nobile,ADJ,adjective
4980,minore,83,minore,ADJ,adjective
3169,dispositivo,143,dispositivo,ADJ,adjective
3170,coraggioso,143,coraggioso,ADJ,adjective
2327,auguri,203,augurio,ADJ,adjective
4410,cantante,97,cantante,ADJ,adjective
4398,generoso,97,generoso,ADJ,adjective
4212,eccome,103,eccomo,ADJ,adjective
3432,nudo,130,nudo,ADJ,adjective
3420,curioso,131,curioso,ADJ,adjective
3757,varie,117,vario,ADJ,adjective
3181,sacro,142,sacro,ADJ,adjective
3394,oscuro,132,oscuro,ADJ,adjective
3541,uniforme,125,uniforme,ADJ,adjective
3560,benedica,125,benedica,ADJ,adjective
295,pronto,2318,pronto,ADJ,adjective
3464,filippo,129,filippo,ADJ,adjective
3570,probabile,124,probabile,ADJ,adjective
276,stesso,2527,stesso,ADJ,adjective
3388,sinistro,132,sinistro,ADJ,adjective
3580,margaret,124,margaret,ADJ,adjective
3501,ragionevole,127,ragionevole,ADJ,adjective
4627,disperato,91,disperato,ADJ,adjective
3589,ekki,124,ekkio,ADJ,adjective
4886,fotografo,85,fotografo,ADJ,adjective
4910,single,84,single,ADJ,adjective
3484,ebbene,128,ebbeno,ADJ,adjective
3495,storto,127,storto,ADJ,adjective
314,capisco,2104,capisco,ADJ,adjective
3496,sociale,127,sociale,ADJ,adjective
2850,lentamente,162,lento,ADJ,adjective
3211,mondiale,141,mondiale,ADJ,adjective
3203,riuscivo,141,riuscivo,ADJ,adjective
3480,mortale,128,mortale,ADJ,adjective
3189,ideale,142,ideale,ADJ,adjective
2434,iui,193,iui,ADP,adposition
606,sopra,996,sopra,ADP,adposition
2,di,129302,di,ADP,adposition
2282,ca,207,ca,ADP,adposition
3680,shh,120,shh,ADP,adposition
1220,attraverso,435,attraverso,ADP,adposition
2249,nonostante,211,nonostante,ADP,adposition
746,de,769,de,ADP,adposition
4133,dean,105,dean,ADP,adposition
9,a,78680,a,ADP,adposition
293,sotto,2324,sotto,ADP,adposition
1443,puo',354,puo,ADP,adposition
4731,presso,88,presso,ADP,adposition
105,su,7426,su,ADP,adposition
1778,ra,278,ra,ADP,adposition
3545,st,125,st,ADP,adposition
154,dopo,4752,dopo,ADP,adposition
155,senza,4674,senza,ADP,adposition
349,sig,1868,sig,ADP,adposition
11,in,48533,in,ADP,adposition
3331,sg,135,sg,ADP,adposition
3006,leo,152,leo,ADP,adposition
24,con,31308,con,ADP,adposition
3337,neill,135,neill,ADP,adposition
4276,aii',101,aii,ADP,adposition
4191,rivedremo,103,rivedre,ADP,adposition
387,contro,1704,contro,ADP,adposition
332,secondo,1986,secondo,ADP,adposition
3279,dille,138,dille,ADP,adposition
4068,eccetto,107,eccetto,ADP,adposition
2148,of,222,of,ADP,adposition
4835,ni,86,ni,ADP,adposition
28,come,29466,come,ADP,adposition
3168,dna,143,dna,ADP,adposition
1201,entro,445,entro,ADP,adposition
4824,smallville,86,smallville,ADP,adposition
475,verso,1344,verso,ADP,adposition
448,quell',1450,quell,ADP,adposition
2494,na,188,na,ADP,adposition
3497,ron,127,ron,ADP,adposition
29,da,29377,da,ADP,adposition
703,dev',816,dev,ADP,adposition
3209,og,141,og,ADP,adposition
1478,pò,346,pò,ADP,adposition
3775,imbecille,117,imbecille,ADP,adposition
3631,or,122,or,ADP,adposition
89,d',8323,d,ADP,adposition
797,do,716,do,ADP,adposition
137,all',5335,all,ADP,adposition
766,durante,748,durante,ADP,adposition
365,dall',1794,dall,ADP,adposition
1844,los,266,los,ADP,adposition
1265,fc,413,fc,ADP,adposition
10,per,59380,per,ADP,adposition
191,tra,3671,tra,ADP,adposition
234,dov',2983,dov,ADP,adposition
145,dell',5062,dell,ADP,adposition
502,fra,1240,fra,ADP,adposition
334,nell',1964,nell,ADP,adposition
1678,tranne,297,tranne,ADP,adposition
807,fame,704,Fame,ADV,adverb
1419,soprattutto,362,soprattutto,ADV,adverb
3801,imbarazzante,116,imbarazzante,ADV,adverb
3802,eterno,116,eterno,ADV,adverb
2165,andiamocene,220,andiamocene,ADV,adverb
1348,sicuramente,386,sicuramente,ADV,adverb
1967,perfino,246,perfino,ADV,adverb
4733,particolarmente,88,particolarmente,ADV,adverb
1301,sergente,403,sergente,ADV,adverb
1081,insomma,503,insomma,ADV,adverb
4832,precisamente,86,precisamente,ADV,adverb
4956,zoo,83,zoo,ADV,adverb
4842,continuamente,86,continuamente,ADV,adverb
1088,eccolo,499,eccolo,ADV,adverb
1007,dunque,551,dunque,ADV,adverb
1334,ovviamente,391,ovviamente,ADV,adverb
4928,onestamente,84,onestamente,ADV,adverb
1302,perciò,403,perciò,ADV,adverb
1455,preoccupi,351,preoccupi,ADV,adverb
412,veramente,1580,veramente,ADV,adverb
124,poi,5884,poi,ADV,adverb
944,altrimenti,589,altrimenti,ADV,adverb
548,ieri,1111,ieri,ADV,adverb
820,circa,691,circa,ADV,adverb
428,indietro,1538,indietro,ADV,adverb
284,appena,2426,appena,ADV,adverb
984,mica,565,mica,ADV,adverb
123,certo,5915,certo,ADV,adverb
379,quasi,1728,quasi,ADV,adverb
416,giù,1566,giù,ADV,adverb
386,però,1706,però,ADV,adverb
271,presto,2551,presto,ADV,adverb
567,attimo,1063,attimo,ADV,adverb
147,quanto,4986,quanto,ADV,adverb
959,addosso,582,addosso,ADV,adverb
833,naturalmente,680,naturalmente,ADV,adverb
140,proprio,5153,proprio,ADV,adverb
139,fuori,5165,fuori,ADV,adverb
149,via,4935,via,ADV,adverb
142,davvero,5123,davvero,ADV,adverb
974,cioè,572,cioè,ADV,adverb
3713,eccitante,119,eccitante,ADV,adverb
1080,affatto,504,affatto,ADV,adverb
2901,appunto,159,appunto,ADV,adverb
2883,veleno,159,veleno,ADV,adverb
3760,talmente,117,talmente,ADV,adverb
2307,Chloe,205,chloe,ADV,adverb
966,rispetto,576,rispetto,ADV,adverb
3255,velocemente,138,velocemente,ADV,adverb
2829,seriamente,163,seriamente,ADV,adverb
2747,assieme,169,assieme,ADV,adverb
2978,orso,154,orso,ADV,adverb
3359,decisamente,134,decisamente,ADV,adverb
3835,totalmente,114,totalmente,ADV,adverb
2309,tuttavia,204,tuttavia,ADV,adverb
2623,volentieri,176,volentieri,ADV,adverb
2858,attorno,162,attorno,ADV,adverb
2380,ultimamente,198,ultimamente,ADV,adverb
2611,solamente,177,solamente,ADV,adverb
624,farti,955,farto,ADV,adverb
2445,specialmente,192,specialmente,ADV,adverb
2658,praticamente,174,praticamente,ADV,adverb
3167,gratis,143,gratis,ADV,adverb
3009,facilmente,152,facilmente,ADV,adverb
3030,torto,150,torto,ADV,adverb
1196,certamente,451,certamente,ADV,adverb
1213,chissà,442,chissà,ADV,adverb
3269,metterti,138,metterto,ADV,adverb
1427,ovunque,359,ovunque,ADV,adverb
342,dici,1914,ode,ADV,adverb
1546,urla,331,ure,ADV,adverb
4485,doug,95,doe,ADV,adverb
4948,canti,84,cante,ADV,adverb
3485,diamanti,128,diamante,ADV,adverb
3928,togli,111,toe,ADV,adverb
3789,altrove,117,altrove,ADV,adverb
2173,finora,219,finora,ADV,adverb
107,sempre,7312,sempre,ADV,adverb
1403,anzi,368,anzi,ADV,adverb
3936,quaggiù,111,quaggiù,ADV,adverb
2040,intanto,235,intanto,ADV,adverb
2091,eccoci,229,eccoci,ADV,adverb
2667,personalmente,173,personalmente,ADV,adverb
3112,apposta,146,apposta,ADV,adverb
1064,completamente,518,completamente,ADV,adverb
108,forse,6809,forse,ADV,adverb
426,nemmeno,1545,nemmeno,ADV,adverb
176,troppo,3998,troppo,ADV,adverb
579,davanti,1044,davanti,ADV,adverb
48,solo,15422,solo,ADV,adverb
4462,sottovoce,95,sottovoce,ADV,adverb
934,laggiù,596,laggiù,ADV,adverb
837,spesso,677,spesso,ADV,adverb
1,non,145637,non,ADV,adverb
1566,immediatamente,325,immediatamente,ADV,adverb
1573,purtroppo,323,purtroppo,ADV,adverb
42,più,18088,più,ADV,adverb
1621,eppure,311,eppure,ADV,adverb
4349,sfortunatamente,98,sfortunatamente,ADV,adverb
4332,estremamente,99,estremamente,ADV,adverb
4271,dopotutto,101,dopotutto,ADV,adverb
2022,inoltre,238,inoltre,ADV,adverb
3966,rapidamente,110,rapidamente,ADV,adverb
1976,stavolta,244,stavolta,ADV,adverb
167,ecco,4149,ecco,ADV,adverb
4437,gus,96,gus,ADV,adverb
1653,dappertutto,303,dappertutto,ADV,adverb
3984,addirittura,110,addirittura,ADV,adverb
69,molto,10449,molto,ADV,adverb
71,anche,10295,anche,ADV,adverb
1551,semplicemente,330,semplicemente,ADV,adverb
935,intorno,596,intorno,ADV,adverb
472,vicino,1357,vicino,ADV,adverb
891,peggio,627,peggio,ADV,adverb
469,pure,1366,pure,ADV,adverb
463,dietro,1391,dietro,ADV,adverb
83,dove,8739,dove,ADV,adverb
289,domani,2350,domani,ADV,adverb
840,piuttosto,674,piuttosto,ADV,adverb
345,meno,1900,meno,ADV,adverb
765,lontano,748,lontano,ADV,adverb
185,beh,3790,beh,ADV,adverb
85,oh,8653,oh,ADV,adverb
86,prima,8574,prima,ADV,adverb
242,dentro,2873,dentro,ADV,adverb
433,invece,1521,invece,ADV,adverb
625,soltanto,950,soltanto,ADV,adverb
215,lì,3255,lì,ADV,adverb
679,ormai,860,ormai,ADV,adverb
1339,accanto,388,accanto,ADV,adverb
241,subito,2891,subito,ADV,adverb
1882,perfettamente,259,perfettamente,ADV,adverb
129,po',5678,poco,ADV,adverb
218,avanti,3158,avanti,ADV,adverb
482,almeno,1333,almeno,ADV,adverb
60,ora,12011,ora,ADV,adverb
1456,persino,351,persino,ADV,adverb
792,probabilmente,724,probabilmente,ADV,adverb
316,fino,2095,fino,ADV,adverb
54,così,14303,così,ADV,adverb
292,insieme,2329,insieme,ADV,adverb
702,esattamente,827,esattamente,ADV,adverb
870,finalmente,644,finalmente,ADV,adverb
38,bene,19550,bene,ADV,adverb
318,là,2090,là,ADV,adverb
64,mai,11206,mai,ADV,adverb
282,quindi,2440,quindi,ADV,adverb
133,già,5569,già,ADV,adverb
134,adesso,5553,adesso,ADV,adverb
4032,las,108,Las,ADV,adverb
33,qui,21180,qui,ADV,adverb
319,qua,2085,qua,ADV,adverb
243,oggi,2867,oggi,ADV,adverb
87,allora,8346,allora,ADV,adverb
4156,piangi,104,piangi,ADV,adverb
4179,altrettanto,104,altrettanto,ADV,adverb
4195,realmente,103,realmente,ADV,adverb
4222,sinceramente,102,sinceramente,ADV,adverb
1503,infatti,342,infatti,ADV,adverb
4091,infine,106,infine,ADV,adverb
364,neanche,1796,neanche,ADV,adverb
1928,neppure,251,neppure,ADV,adverb
964,assolutamente,579,assolutamente,ADV,adverb
