rango,parola,lemma,inglese,pos,spagnolo,lemma_es,pos_es,temp_nfkd_it,temp_nfkd_es,it_spanishify,levenshtein
235,soldi,soldo,money,NOUN,dinero,dinero,NOUN,soldo,dinero,soldo,0.16666666666666663
240,dispiace,dispiacere,sorry,NOUN,lo siento,él,PRON,dispiacere,lo siento,dispiacer,0.11111111111111116
241,subito,subito,right away,ADV,de inmediato,de,ADP,subito,de inmediato,subito,0.25
243,oggi,oggi,Today,ADV,hoy,hoy,ADV,oggi,hoy,oggi,0.0
244,accordo,accordo,agreement,NOUN,acuerdo,acuerdo,NOUN,accordo,acuerdo,accordo,0.7142857142857143
247,nome,nome,first name,NOUN,nombre de pila,nombre,NOUN,nome,nombre de pila,nome,0.2857142857142857
249,notte,notte,Night,NOUN,noche,noche,NOUN,notte,noche,notte,0.6
251,figlio,figlio,son,NOUN,hijo,hijo,NOUN,figlio,hijo,fillio,0.33333333333333337
255,vado,vado,I go,VERB,voy,ir,VERB,vado,voy,vado,0.25
257,aspetta,aspettare,Wait,VERB,esperar,esperar,VERB,aspettare,esperar,aspettar,0.625
258,amore,amore,Love,NOUN,amar,amar,VERB,amore,amar,amore,0.6
259,moglie,moglie,wife,NOUN,esposa,esposa,NOUN,moglie,esposa,moglie,0.0
260,sicuro,sicuro,Safe,ADJ,seguro,seguro,ADJ,sicuro,seguro,sicuro,0.6666666666666667
263,paura,paura,fear,NOUN,miedo,miedo,NOUN,paura,miedo,paura,0.0
265,testa,testa,head,NOUN,cabeza,cabeza,NOUN,testa,cabeza,testa,0.16666666666666663
267,giusto,giusto,Right,ADJ,bien,bien,ADV,giusto,bien,giusto,0.16666666666666663
270,senti,sentire,listen,VERB,escuchar,escuchar,VERB,sentire,escuchar,sentir,0.25
271,presto,presto,Soon,ADV,pronto,pronto,ADV,presto,pronto,presto,0.6666666666666667
274,basta,bastare,Enough,VERB,suficiente,suficiente,ADJ,bastare,suficiente,bastar,0.0
276,stesso,stesso,same,ADJ,mismo,mismo,DET,stesso,mismo,stesso,0.33333333333333337
278,porta,portare,brings,VERB,trae,traer,VERB,portare,trae,portar,0.33333333333333337
282,quindi,quindi,Therefore,ADV,por lo tanto,por,ADP,quindi,por lo tanto,quindi,0.08333333333333337
284,appena,appena,as soon as,ADV,tan pronto como,tan,NOUN,appena,tan pronto como,appena,0.19999999999999996
286,ragione,ragione,reason,NOUN,razón,razón,NOUN,ragione,razon,ragion,0.5
288,ragazzi,ragazzo,Boys,NOUN,niños,niño,NOUN,ragazzo,ninos,ragazzo,0.0
289,domani,domani,Tomorrow,ADV,mañana,mañana,ADV,domani,manana,domani,0.33333333333333337
292,insieme,insieme,Together,ADV,juntos,junto,ADJ,insieme,juntos,insieme,0.0
293,sotto,sotto,under,ADP,bajo,bajo,ADP,sotto,bajo,sotto,0.19999999999999996
295,pronto,pronto,ready,ADJ,listo,listo,ADJ,pronto,listo,pronto,0.33333333333333337
297,ciò,ciò,that is,PRON,eso es,ese,PRON,cio,eso es,ciò,0.0
299,capito,capire,Understood,VERB,comprendido,comprendido,ADJ,capire,comprendido,capir,0.2727272727272727
300,succede,succedere,happens,VERB,sucede,suceder,VERB,succedere,sucede,succeder,0.75
304,morto,morire,died,VERB,fallecido,fallecido,ADJ,morire,fallecido,morir,0.11111111111111116
306,capitano,capitano,captain,NOUN,capitán,capitán,NOUN,capitano,capitan,capitano,0.75
307,letto,leggere,Bed,VERB,cama,cama,NOUN,leggere,cama,legger,0.0
308,storia,storia,history,NOUN,historia,historia,NOUN,storia,historia,storia,0.75
310,trovato,trovare,found,VERB,encontró,encontrar,VERB,trovare,encontro,trovar,0.25
314,capisco,capiscere,I understand,VERB,entiendo,entender,VERB,capiscere,entiendo,capiscer,0.125
316,fino,fino,until,ADV,hasta,hasta,ADP,fino,hasta,fino,0.0
317,tipo,tipo,guy,NOUN,chico,chico,NOUN,tipo,chico,tipo,0.4
318,là,là,there,ADV,allá,allá,ADV,la,alla,là,0.25
319,qua,qua,here,ADV,aquí,aquí,ADV,qua,aqui,qua,0.5
323,cazzo,cazzo,fuck,NOUN,mierda,mierda,NOUN,cazzo,mierda,cazzo,0.0
325,nulla,nulla,Nothing,PRON,nada,nada,PRON,nulla,nada,nulla,0.4
331,dato,dare,given,VERB,dado,dar,VERB,dare,dado,dar,0.5
332,secondo,secondo,second,ADJ,segundo,segundo,ADJ,secondo,segundo,secondo,0.7142857142857143
333,film,film,movie,NOUN,película,película,NOUN,film,pelicula,film,0.125
342,dici,dici,you say,VERB,dices,decir,VERB,dici,dices,dici,0.6
343,serve,servire,it helps,VERB,ayuda,ayuda,NOUN,servire,ayuda,servir,0.0
344,morte,morto,death,VERB,muerte,muerte,NOUN,morto,muerte,morto,0.5
346,città,città,city,NOUN,ciudad,ciudad,NOUN,citta,ciudad,città,0.33333333333333337
347,occhi,occhio,eyes,NOUN,ojos,ojo,NOUN,occhio,ojos,occhio,0.16666666666666663
348,fine,fine,end,NOUN,fin,fin,NOUN,fine,fin,fine,0.75
349,sig,sig,Mr,NOUN,señor,señor,NOUN,sig,senor,sig,0.19999999999999996
352,scusi,scusire,Excuse me,VERB,disculpe,disculpe,VERB,scusire,disculpe,scusir,0.375
353,primo,primo,first,ADJ,primero,primero,ADJ,primo,primero,primo,0.7142857142857143
355,salve,salvo,Greetings,ADJ,saludos,saludo,NOUN,salvo,saludos,salvo,0.5714285714285714
358,sera,sera,evening,NOUN,noche,noche,NOUN,sera,noche,sera,0.0
359,piano,piano,floor,NOUN,piso,piso,NOUN,piano,piso,piano,0.6
361,macchina,macchina,machine,NOUN,máquina,máquina,NOUN,macchina,maquina,macchina,0.5
362,vostro,vostro,your,DET,su,su,DET,vostro,su,vostro,0.16666666666666663
364,neanche,neanche,not even,ADV,ni siquiera,ni,CCONJ,neanche,ni siquiera,neanche,0.18181818181818177
366,dottore,dottore,doctor,NOUN,doctor,doctor,NOUN,dottore,doctor,dottore,0.7142857142857143
367,quale,quale,Which,ADP,cual,cual,PRON,quale,cual,qual,0.75
368,abbastanza,abbastanza,Enough,ADV,suficiente,suficiente,ADJ,abbastanza,suficiente,abbastanza,0.09999999999999998
371,cuore,cuore,Heart,NOUN,corazón,corazón,NOUN,cuore,corazon,cuore,0.2857142857142857
375,aiuto,aiuto,help,NOUN,ayuda,ayuda,NOUN,aiuto,ayuda,aiuto,0.4
376,diavolo,diavolo,devil,NOUN,demonio,demonio,NOUN,diavolo,demonio,diavolo,0.2857142857142857
379,quasi,quasi,Almost,ADV,casi,casi,ADV,quasi,casi,quasi,0.6
380,polizia,polizia,police,NOUN,policía,policía,NOUN,polizia,policia,polizia,0.7142857142857143
381,capo,capo,boss,NOUN,jefe,jefe,NOUN,capo,jefe,capo,0.0
385,tornare,tornare,return,VERB,devolver,devolver,VERB,tornare,devolver,tornar,0.25
386,però,però,However,ADV,sin embargo,sin,ADP,pero,sin embargo,però,0.18181818181818177
389,mentre,mentre,While,SCONJ,mientras,mientras,SCONJ,mentre,mientras,mentre,0.625
390,scusa,scusare,Excuse me,VERB,disculpe,disculpe,VERB,scusare,disculpe,scusar,0.375
392,spero,sperere,I hope,ADJ,espero,esperar,VERB,sperere,espero,sperer,0.5
395,giro,giro,tour,NOUN,recorrido,recorrido,NOUN,giro,recorrido,giro,0.2222222222222222
399,bambino,bambino,child,NOUN,niño,niño,NOUN,bambino,nino,bambino,0.2857142857142857
400,strada,strada,street,NOUN,calle,calle,NOUN,strada,calle,strada,0.0
401,vecchio,vecchio,old,ADJ,viejo,viejo,ADJ,vecchio,viejo,vecchio,0.2857142857142857
402,fratello,fratello,Brother,NOUN,hermano,hermano,NOUN,fratello,hermano,fratello,0.125
403,acqua,acqua,waterfall,NOUN,cascada,cascada,NOUN,acqua,cascada,acqua,0.4285714285714286
404,stasera,stasera,this evening,ADV,esta noche,este,DET,stasera,esta noche,stasera,0.30000000000000004
406,chiama,chiamare,who loves,VERB,quien ama,quien,PRON,chiamare,quien ama,chiamar,0.33333333333333337
412,veramente,veramente,Truly,ADV,realmente,realmente,ADV,veramente,realmente,veramente,0.6666666666666667
413,finito,finire,finished,VERB,finalizado,finalizado,ADJ,finire,finalizado,finir,0.4
416,giù,giù,below,ADV,abajo,abajo,ADV,giu,abajo,giù,0.0
418,bravo,bravo,good boy,ADJ,buen chico,buen,ADJ,bravo,buen chico,bravo,0.19999999999999996
420,ricordi,ricordo,memories,VERB,recuerdos,recuerdo,NOUN,ricordo,recuerdos,ricordo,0.5555555555555556
426,nemmeno,nemmeno,neither,ADV,ni,ni,CCONJ,nemmeno,ni,nemmeno,0.1428571428571429
428,indietro,indietro,backwards,ADV,hacia atrás,hacia,ADP,indietro,hacia atras,indietro,0.2727272727272727
433,invece,invece,Instead,ADV,en cambio,en,ADP,invece,en cambio,invece,0.11111111111111116
434,perso,perdere,lost,VERB,perdido,perdido,ADJ,perdere,perdido,perder,0.5714285714285714
436,ucciso,uccidere,killed,VERB,delicado,delicado,ADJ,uccidere,delicado,uccider,0.125
437,forte,forte,strong,ADJ,fuerte,fuerte,ADJ,forte,fuerte,forte,0.6666666666666667
444,cercando,cercare,looking for,VERB,buscando,buscar,VERB,cercare,buscando,cercar,0.25
446,verità,verità,truth,NOUN,verdad,verdad,NOUN,verita,verdad,verità,0.5
449,re,Re,king,NOUN,rey,rey,NOUN,Re,rey,Re,0.33333333333333337
455,chiesto,chiedere,asked,VERB,preguntó,preguntar,VERB,chiedere,pregunto,chieder,0.0
456,cosi,coe,Like this,ADP,como esto,como,SCONJ,coe,como esto,coe,0.33333333333333337
458,felice,felice,happy,ADJ,feliz,feliz,ADJ,felice,feliz,felice,0.6666666666666667
459,piedi,piede,feet,NOUN,pies,pie,NOUN,piede,pies,piede,0.6
461,piccolo,piccolo,small,ADJ,pequeño,pequeño,ADJ,piccolo,pequeno,piccolo,0.2857142857142857
463,dietro,dietro,behind,ADV,detrás,detrás,ADV,dietro,detras,dietro,0.5
465,buongiorno,buongiorno,Good morning,NOUN,buen día,buen,ADJ,buongiorno,buen dia,buongiorno,0.30000000000000004
466,passato,passare,past,VERB,pasado,pasado,ADJ,passare,pasado,passar,0.5
467,dollari,dollaro,dollars,NOUN,dolares,dolar,NOUN,dollaro,dolares,dollaro,0.5714285714285714
469,pure,pure,mashed potato,ADV,puré de patatas,puré,NOUN,pure,pure de patatas,pure,0.2666666666666667
471,cinque,cinque,five,NUM,cinco,cinco,NUM,cinque,cinco,cinque,0.5
473,uscire,uscire,go out,VERB,salir,salir,VERB,uscire,salir,uscir,0.4
474,conosco,conoscere,I know,VERB,sé,saber,VERB,conoscere,se,conoscer,0.125
475,verso,verso,towards,ADP,hacia,hacia,ADP,verso,hacia,verso,0.0
477,quattro,quattro,four,NUM,cuatro,cuatro,NUM,quattro,cuatro,quattro,0.7142857142857143
481,eri,eri,you was,VERB,eras,era,NOUN,eri,eras,eri,0.5
482,almeno,almeno,at least,ADV,al menos,al,ADP,almeno,al menos,almeno,0.75
483,dica,dicere,say,VERB,decir,decir,VERB,dicere,decir,dicer,0.6
484,lascia,lasciare,leaves,VERB,hojas,hoja,NOUN,lasciare,hojas,lasciar,0.1428571428571429
489,ricordo,ricordare,I remember,VERB,recuerdo,recordar,VERB,ricordare,recuerdo,ricordar,0.375
490,pace,pacere,peace,NOUN,paz,paz,NOUN,pacere,paz,pacer,0.4
491,roba,roba,stuff,NOUN,cosa,cosa,NOUN,roba,cosa,roba,0.5
493,migliore,migliore,improve,ADJ,mejorar,mejorar,VERB,migliore,mejorar,milliore,0.25
495,difficile,difficile,difficult,ADJ,difícil,difícil,ADJ,difficile,dificil,dificile,0.75
496,settimana,settimana,week,NOUN,semana,semana,NOUN,settimana,semana,settimana,0.6666666666666667
500,conto,conto,I count,NOUN,cuento,cuento,PROPN,conto,cuento,conto,0.6666666666666667
501,stanza,stanza,room,NOUN,habitación,habitación,NOUN,stanza,habitacion,stanza,0.19999999999999996
502,fra,fra,between,ADP,entre,entre,ADP,fra,entre,fra,0.19999999999999996
503,comunque,comunque,Anyway,ADV,de todos modos,de,ADP,comunque,de todos modos,comunque,0.0714285714285714
508,messo,mettere,put in order,VERB,poner en orden,poner,VERB,mettere,poner en orden,metter,0.2142857142857143
509,strano,strano,strange,ADJ,extraño,extraño,ADJ,strano,extrano,strano,0.5714285714285714
513,né,né,neither,CCONJ,ni,ni,CCONJ,ne,ni,né,0.5
518,parola,parola,word,NOUN,palabra,palabra,NOUN,parola,palabra,parola,0.4285714285714286
524,finché,finché,until,SCONJ,hasta,hasta,ADP,finche,hasta,finché,0.0
526,dammi,dammi,give me,VERB,dame,dame,VERB,dammi,dame,dammi,0.6
529,fuoco,fuoco,fire,NOUN,fuego,fuego,NOUN,fuoco,fuego,fuoco,0.6
531,mangiare,mangiare,eat,VERB,comer,comer,VERB,mangiare,comer,mangiar,0.1428571428571429
535,paese,paese,village,NOUN,aldea,aldea,NOUN,paese,aldea,paese,0.19999999999999996
538,mezzo,mezzo,half,NOUN,medio,medio,NUM,mezzo,medio,mezzo,0.6
539,prova,provare,trial,VERB,ensayo,ensayo,NOUN,provare,ensayo,provar,0.0
540,cara,caro,Dear,ADJ,estimado,estimado,ADJ,caro,estimado,caro,0.25
542,cane,cane,dog,NOUN,perro,perro,PROPN,cane,perro,cane,0.0
543,dimmi,Dimmi,Tell me,PROPN,dime,dimir,VERB,Dimmi,dime,Dimmi,0.4
544,fossi,fossare,I was,VERB,era,ser,AUX,fossare,era,fossar,0.16666666666666663
545,senso,senso,sense,NOUN,sentido,sentido,NOUN,senso,sentido,senso,0.5714285714285714
547,riesco,riesco,I am able to,VERB,soy capaz de,ser,AUX,riesco,soy capaz de,riesco,0.08333333333333337
548,ieri,ieri,Yesterday,ADV,ayer,ayer,ADV,ieri,ayer,ieri,0.25
551,scuola,scuola,school,NOUN,escuela,escuela,NOUN,scuola,escuela,scuola,0.7142857142857143
556,resto,resto,rest,NOUN,descansar,descansar,VERB,resto,descansar,resto,0.2222222222222222
559,pare,parere,it seems,VERB,parece,parecer,VERB,parere,parece,parer,0.6666666666666667
560,bere,bere,drinking,VERB,bebiendo,beber,VERB,bere,bebiendo,ber,0.25
563,giovane,giovane,young,ADJ,joven,joven,NOUN,giovane,joven,giovane,0.4285714285714286
566,gran,Gran,great,PROPN,excelente,excelente,ADJ,Gran,excelente,Gran,0.11111111111111116
567,attimo,attimo,moment,NOUN,momento,momento,NOUN,attimo,momento,attimo,0.1428571428571429
568,ascolta,ascoltare,Listen,VERB,escuchar,escuchar,VERB,ascoltare,escuchar,ascoltar,0.5
570,dovresti,dovresti,you should,AUX,debería,deber,AUX,dovresti,deberia,dovresti,0.25
571,corpo,corpo,body,NOUN,cuerpo,cuerpo,NOUN,corpo,cuerpo,corpo,0.6666666666666667
573,gioco,gioco,game,NOUN,juego,juego,NOUN,gioco,juego,gioco,0.19999999999999996
575,aria,aria,air,NOUN,aire,aire,NOUN,aria,aire,aria,0.25
578,magari,magari,Perhaps,ADV,tal vez,tal,NOUN,magari,tal vez,magari,0.1428571428571429
579,davanti,davanti,in front of,ADV,delante de,delante,ADV,davanti,delante de,davanti,0.4
581,chiamo,chiamo,I&#39;ll call,VERB,llamaré,llamar,VERB,chiamo,llamare,chiamo,0.1428571428571429
582,genere,genere,type ,NOUN,tipo,tipo,NOUN,genere,tipo,gener,0.0
584,domanda,domandare,request,VERB,pedido,pedido,ADJ,domandare,pedido,domandar,0.125
589,lungo,lungo,long,ADV,largo,largo,ADJ,lungo,largo,lungo,0.6
591,paio,paio,pair,NOUN,par,par,NOUN,paio,par,paio,0.5
600,sorella,sorella,sister,NOUN,hermana,hermana,NOUN,sorella,hermana,sorella,0.2857142857142857
602,stia,stia,stay,AUX,permanecer,permanecer,VERB,stia,permanecer,stia,0.09999999999999998
603,signorina,signorina,Miss,NOUN,extrañar,extrañar,VERB,signorina,extranar,sinorina,0.125
605,spiace,spiacere,sorry,NOUN,lo siento,él,PRON,spiacere,lo siento,spiacer,0.11111111111111116
606,sopra,sopra,above,ADV,arriba,arriba,ADV,sopra,arriba,sopra,0.16666666666666663
607,bisogna,bisognare,must,VERB,debe,deber,AUX,bisognare,debe,bisonar,0.0
610,affari,affare,business,NOUN,negocio,negocio,NOUN,affare,negocio,afar,0.0
611,facile,facile,easy,ADJ,fácil,fácil,ADJ,facile,facil,facile,0.6666666666666667
616,restare,restare,remain,VERB,permanecer,permanecer,VERB,restare,permanecer,restar,0.30000000000000004
617,attenzione,attenzione,Attention,NOUN,atención,atención,NOUN,attenzione,atencion,attenzion,0.6666666666666667
625,soltanto,soltanto,only,ADV,solo,solo,ADV,soltanto,solo,soltanto,0.5
628,puttana,puttano,whore,VERB,puta,puta,NOUN,puttano,puta,puttano,0.5714285714285714
631,luce,luce,light,NOUN,luz,luz,NOUN,luce,luz,luce,0.5
633,qualsiasi,qualsiasi,any,DET,cualquier,cualquiera,DET,qualsiasi,cualquier,qualsiasi,0.33333333333333337
641,onore,onore,honor,NOUN,honor,honor,NOUN,onore,honor,onore,0.6
642,ragazze,ragazza,girls,NOUN,chicas,chica,NOUN,ragazza,chicas,ragazza,0.0
643,scritto,scrivere,written,VERB,escrito,escrito,ADJ,scrivere,escrito,scriver,0.4285714285714286
645,tieni,tieni,here,VERB,aquí,aquí,ADV,tieni,aqui,tieni,0.0
647,ufficio,ufficio,office,NOUN,oficina,oficina,NOUN,ufficio,oficina,uficio,0.5714285714285714
650,coraggio,coraggio,courage,NOUN,coraje,coraje,NOUN,coraggio,coraje,coraggio,0.5
653,dieci,dieci,ten,NUM,diez,diez,NUM,dieci,diez,dieci,0.6
655,voglia,voglia,wants,NOUN,quiere,querer,VERB,voglia,quiere,voglia,0.0
657,esatto,esatto,Exactly,ADJ,exactamente,exactamente,ADV,esatto,exactamente,esatto,0.36363636363636365
659,tratta,trattare,deals with,VERB,trata con,tratar,VERB,trattare,trata con,trattar,0.4444444444444444
661,arrivato,arrivare,arrived,VERB,llegó,llegar,VERB,arrivare,llego,arrivar,0.0
664,voce,voce,voice,NOUN,voz,voz,NOUN,voce,voz,voce,0.5
666,lasci,Lasci,leave,VERB,dejar,dejar,VERB,Lasci,dejar,Lasci,0.0
668,chiaro,chiaro,clear,ADJ,claro,claro,ADJ,chiaro,claro,chiaro,0.6666666666666667
670,squadra,squadra,squad,NOUN,equipo,equipo,NOUN,squadra,equipo,squadra,0.2857142857142857
673,ordine,ordine,order,NOUN,orden,orden,NOUN,ordine,orden,ordine,0.6666666666666667
675,arrivederci,arrivedere,Until we meet again,VERB,hasta que nos encontremos de nuevo,hasta,ADP,arrivedere,hasta que nos encontremos de nuevo,arriveder,0.11764705882352944
679,ormai,ormai,at this point,ADV,en este punto,en,ADP,ormai,en este punto,ormai,0.0
