rango,parola,lemma,inglese,pos,spagnolo,lemma_es,pos_es,match_type,score
1806,evitare,evitare,avoid,VERB,evitar,evitar,VERB,levenshtein,1.0
1810,naturale,naturale,natural,ADJ,natural,natural,ADJ,levenshtein,1.0
1812,famoso,famoso,famous,ADJ,famoso,famoso,ADJ,exact,1.0
1829,breve,breve,brief,ADJ,breve,breve,ADJ,exact,1.0
1836,locale,locale,local,ADJ,local,local,ADJ,levenshtein,1.0
1850,canta,cantare,sing,VERB,cantar,cantar,VERB,levenshtein,1.0
1853,interno,interno,internal,ADJ,interno,interno,ADJ,exact,1.0
1861,mantenere,mantenere,maintain,VERB,mantener,mantener,VERB,levenshtein,1.0
1872,salire,salire,go out,VERB,salir,salir,VERB,levenshtein,1.0
1897,magnifico,magnifico,magnificent,ADJ,magnífico,magnífico,ADJ,exact,1.0
1907,tecnologia,tecnologia,technology,NOUN,tecnología,tecnología,NOUN,exact,1.0
1945,genio,genio,genius,NOUN,genio,genio,NOUN,exact,1.0
1946,europa,Europa,Europe,PROPN,europa,europa,PROPN,exact,1.0
1955,potente,potente,powerful,ADJ,poderoso,poderoso,ADJ,wordnet,1.0
1964,centrale,centrale,central,ADJ,central,central,ADJ,levenshtein,1.0
1982,camion,camion,truck,NOUN,camión,camión,NOUN,exact,1.0
2001,principale,principale,principal,ADJ,principal,principal,ADJ,levenshtein,1.0
2034,laboratorio,laboratorio,laboratory,NOUN,laboratorio,laboratorio,NOUN,exact,1.0
2037,amante,amante,lover,NOUN,amante,amante,NOUN,exact,1.0
2038,vendere,vendere,sell,VERB,vender,vender,VERB,levenshtein,1.0
2048,continuo,continuo,continuous,ADJ,continuo,continuo,ADJ,exact,1.0
2090,francia,Francia,France,PROPN,francia,francia,PROPN,exact,1.0
2092,diario,Diario,diary,NOUN,diario,diario,NOUN,exact,1.0
2109,violenza,violenza,violence,NOUN,violencia,violencia,NOUN,levenshtein,1.0
2142,banda,banda,band,NOUN,banda,banda,NOUN,exact,1.0
2149,morale,morale,moral,ADJ,moral,moral,ADJ,levenshtein,1.0
2157,completo,completo,complete,ADJ,completo,completo,ADJ,exact,1.0
2172,medicina,medicina,medicine,NOUN,medicamento,medicamento,NOUN,wordnet,1.0
2195,whisky,Whisky,whiskey,PROPN,whisky,whisky,NOUN,exact,1.0
2207,torre,torre,tower,NOUN,torre,torre,NOUN,exact,1.0
2224,fantasma,fantasma,ghost,NOUN,fantasma,fantasma,NOUN,exact,1.0
2234,comodo,comodo,comfortable,ADJ,cómodo,cómodo,ADJ,exact,1.0
2260,universo,universo,universe,NOUN,universo,universo,NOUN,exact,1.0
2261,teoria,teoria,theory,NOUN,teoría,teoría,NOUN,exact,1.0
2263,patria,Patria,homeland,NOUN,patria,patrio,ADJ,exact,1.0
2316,merito,merito,merit,NOUN,mérito,mérito,NOUN,exact,1.0
2335,funerale,funerale,funeral,ADJ,funeral,funeral,NOUN,levenshtein,1.0
2360,edificio,edificio,building,NOUN,edificio,edificio,NOUN,exact,1.0
2371,magia,magia,magic,NOUN,magia,magia,NOUN,exact,1.0
2380,ultimamente,ultimamente,lately,ADV,últimamente,últimamente,ADV,exact,1.0
2383,pista,pista,track,NOUN,pista,pista,NOUN,exact,1.0
2413,ministro,ministro,minister,NOUN,ministro,ministro,NOUN,exact,1.0
2433,olmo,olmo,elm,NOUN,olmo,olmo,NOUN,exact,1.0
2451,falso,falso,false,ADJ,falso,falso,ADJ,exact,1.0
2459,bestia,bestia,beast,NOUN,bestia,bestia,NOUN,exact,1.0
2470,pollo,pollo,chicken,NOUN,pollo,pollo,NOUN,exact,1.0
2472,pagina,pagina,page,NOUN,página,página,NOUN,exact,1.0
2502,autobus,autobus,bus,NOUN,autobús,autobús,NOUN,exact,1.0
2509,gusto,gusto,taste,NOUN,gusto,gusto,NOUN,exact,1.0
2530,totale,totale,total,ADJ,total,total,ADJ,levenshtein,1.0
2546,respirare,respirare,breathe,VERB,respirar,respirar,VERB,levenshtein,1.0
2592,fotografia,fotografia,photograph,NOUN,fotografía,fotografía,NOUN,exact,1.0
2662,ali,ala,wings,NOUN,alas,ala,NOUN,wordnet,1.0
2667,personalmente,personalmente,personally,ADV,personalmente,personalmente,ADV,exact,1.0
2672,minimo,minimo,minimum,ADJ,mínimo,mínimo,ADJ,exact,1.0
2673,impulso,impulso,impulse,NOUN,impulso,impulso,NOUN,exact,1.0
2676,canto,canto,song,NOUN,canción,canción,NOUN,wordnet,1.0
2683,sufficiente,sufficiente,sufficient,ADJ,suficiente,suficiente,ADJ,levenshtein,1.0
2689,panico,panico,panic,NOUN,pánico,pánico,NOUN,exact,1.0
2709,firmare,firmare,sign,VERB,firmar,firmar,VERB,levenshtein,1.0
2724,moda,moda,fashion,NOUN,moda,moda,NOUN,exact,1.0
2736,suicidio,suicidio,suicide,NOUN,suicidio,suicidio,NOUN,exact,1.0
2756,primavera,primavera,spring,NOUN,primavera,primavera,NOUN,exact,1.0
2769,miseria,miseria,misery,NOUN,miseria,miseria,NOUN,exact,1.0
2818,impronte,impronta,footprints,NOUN,huellas,huella,NOUN,wordnet,1.0
2836,legale,legale,legal,ADJ,legal,legal,ADJ,levenshtein,1.0
2847,romantico,romantico,romantic,ADJ,romántico,romántico,ADJ,exact,1.0
2866,italiano,italiano,Italian,ADJ,italiano,italiano,ADJ,exact,1.0
2872,superficie,superficie,surface,NOUN,superficie,superficie,NOUN,exact,1.0
2926,coincidenza,coincidenza,coincidence,NOUN,coincidencia,coincidencia,NOUN,levenshtein,1.0
2936,resistenza,resistenza,resistence,NOUN,resistencia,resistencia,NOUN,levenshtein,1.0
2940,miele,miele,honey,NOUN,miel,miel,NOUN,levenshtein,1.0
2948,brillante,brillante,brilliant,ADJ,brillante,brillante,ADJ,exact,1.0
2958,firma,firma,signature,NOUN,firma,firma,NOUN,exact,1.0
2964,canale,canale,channel,NOUN,canal,canal,NOUN,levenshtein,1.0
2980,fase,fase,phase,NOUN,fase,fase,NOUN,exact,1.0
2987,artista,artista,artist,NOUN,artista,artista,NOUN,exact,1.0
2994,pago,pago,I pay,ADJ,pago,pago,NOUN,exact,1.0
2998,credito,credito,credit,NOUN,crédito,crédito,NOUN,exact,1.0
3009,facilmente,facilmente,easily,ADV,fácilmente,fácilmente,ADV,exact,1.0
3011,episodio,episodio,episode,NOUN,episodio,episodio,NOUN,exact,1.0
3016,urgente,urgente,urgent,ADJ,urgente,urgente,ADJ,exact,1.0
3023,negativo,negativo,negative,ADJ,negativo,negativo,ADJ,exact,1.0
3038,papa,Papa,Pope,PROPN,papa,papa,PROPN,exact,1.0
3056,terreno,terreno,land,NOUN,tierra,tierra,NOUN,wordnet,1.0
3063,frase,frase,phrase,NOUN,frase,frase,NOUN,exact,1.0
3071,criminale,criminale,criminal,ADJ,criminal,criminal,ADJ,levenshtein,1.0
3072,ambiente,ambiente,environment,NOUN,ambiente,ambiente,NOUN,exact,1.0
3081,onda,onda,wave,NOUN,ola,ola,NOUN,wordnet,1.0
3083,nazionale,nazionale,national,ADJ,nacional,nacional,ADJ,levenshtein,1.0
3087,lago,lago,lake,NOUN,lago,lago,NOUN,exact,1.0
3093,barba,barba,beard,NOUN,barba,barba,NOUN,exact,1.0
3117,sí,sí,Yes,VERB,sí,sí,INTJ,exact,1.0
3120,pura,puro,pure,ADJ,puro,puro,ADJ,exact,1.0
3122,originale,originale,original,ADJ,original,original,ADJ,levenshtein,1.0
3161,nobile,nobile,noble,ADJ,noble,noble,ADJ,levenshtein,1.0
3167,gratis,gratis,free,ADV,gratis,gratis,PROPN,exact,1.0
3169,dispositivo,dispositivo,device,NOUN,dispositivo,dispositivo,NOUN,exact,1.0
3174,atmosfera,atmosfera,atmosphere,NOUN,atmósfera,atmósfero,ADJ,exact,1.0
3189,ideale,ideale,ideal,ADJ,ideal,ideal,ADJ,levenshtein,1.0
3259,sincero,sincero,sincere,ADJ,sincero,sincero,ADJ,exact,1.0
3281,corona,corona,crown,NOUN,corona,corona,NOUN,exact,1.0
3287,tema,tema,theme,NOUN,tema,tema,NOUN,exact,1.0
3313,limite,limite,limit,NOUN,límite,límite,NOUN,exact,1.0
3314,italia,Italia,Italy,PROPN,italia,italia,PROPN,exact,1.0
3315,fresco,fresco,fresh,ADJ,fresco,fresco,ADJ,exact,1.0
3329,torres,torres,towers,PROPN,torres,torre,NOUN,exact,1.0
3340,logica,logica,logic,NOUN,lógica,lógica,NOUN,exact,1.0
3369,precedenti,precedente,previous ones,ADJ,anteriores,anterior,ADJ,wordnet,1.0
3394,oscuro,oscuro,dark,ADJ,oscuro,oscuro,ADJ,exact,1.0
3401,cortesia,cortesia,courtesy,NOUN,cortesía,cortesía,NOUN,exact,1.0
3420,curioso,curioso,curious,ADJ,curioso,curioso,ADJ,exact,1.0
3430,oceano,oceano,ocean,NOUN,océano,océano,NOUN,exact,1.0
3456,preciso,preciso,precise,ADJ,preciso,preciso,ADJ,exact,1.0
3480,mortale,mortale,mortal,ADJ,mortal,mortal,ADJ,levenshtein,1.0
3483,gesto,gesto,gesture,NOUN,gesto,gesto,NOUN,exact,1.0
3492,territorio,territorio,territory,NOUN,territorio,territorio,NOUN,exact,1.0
3493,temperatura,temperatura,temperature,NOUN,temperatura,temperatura,NOUN,exact,1.0
3496,sociale,sociale,social,ADJ,social,social,ADJ,levenshtein,1.0
3500,recitare,recitare,recite,VERB,recitar,recitar,VERB,levenshtein,1.0
3520,tono,tono,tone,NOUN,tono,tono,NOUN,exact,1.0
3534,cretino,cretino,cretin,NOUN,cretino,cretino,ADJ,exact,1.0
3570,probabile,probabile,likely,ADJ,probable,probable,ADJ,levenshtein,1.0
3587,fantasia,fantasia,fantasy,NOUN,fantasía,fantasía,NOUN,exact,1.0
3592,circo,circo,circus,NOUN,circo,circo,PROPN,exact,1.0
3602,sacrificio,sacrificio,sacrifice,NOUN,sacrificio,sacrificio,NOUN,exact,1.0
3609,museo,museo,museum,NOUN,museo,museo,NOUN,exact,1.0
3635,materiale,materiale,material,NOUN,material,material,NOUN,levenshtein,1.0
3653,tragedia,tragedia,tragedy,NOUN,tragedia,tragedia,NOUN,exact,1.0
3656,quinto,quinto,fifth,ADJ,quinto,quinto,ADJ,exact,1.0
3659,liceo,liceo,Lyceum,NOUN,liceo,liceo,NOUN,exact,1.0
3663,falla,falla,fault,NOUN,falla,falla,NOUN,exact,1.0
3667,costo,costo,cost,NOUN,costo,costo,NOUN,exact,1.0
3671,colonia,colonia,colony,NOUN,colonia,colonia,NOUN,exact,1.0
3676,volante,volante,steering wheel,NOUN,volante,volante,NOUN,exact,1.0
3721,blanche,blanco,white,ADJ,blanco,blanco,ADJ,exact,1.0
3722,aula,aula,classroom,NOUN,aula,aula,NOUN,exact,1.0
3758,valle,Valle,valley,PROPN,valle,valle,PROPN,exact,1.0
3802,eterno,eterno,eternal,ADJ,eterno,eterno,ADJ,exact,1.0
3821,farô,farô,lighthouse,NOUN,faro,faro,NOUN,exact,1.0
3822,elegante,elegante,elegant,ADJ,elegante,elegante,ADJ,exact,1.0
3824,cultura,cultura,culture,NOUN,cultura,cultura,NOUN,exact,1.0
3828,campana,campana,bell,NOUN,campana,campana,NOUN,exact,1.0
3835,totalmente,totalmente,totally,ADV,totalmente,totalmente,ADV,exact,1.0
3847,poeta,poeta,poet,NOUN,poeta,poeta,NOUN,exact,1.0
3878,principio,principio,principle,NOUN,principio,principio,NOUN,exact,1.0
3884,mentale,mentale,mental,ADJ,mental,mental,ADJ,levenshtein,1.0
3910,pesca,pesca,fishing,NOUN,pesca,pesca,NOUN,exact,1.0
3920,demonio,demonio,demon,NOUN,demonio,demonio,NOUN,exact,1.0
3931,simbolo,simbolo,symbol,NOUN,símbolo,símbolo,NOUN,exact,1.0
3952,cabina,cabina,cabin,NOUN,cabina,cabina,NOUN,exact,1.0
3966,rapidamente,rapidamente,quickly,ADV,rápidamente,rápidamente,ADV,exact,1.0
3970,monte,monte,mountain,NOUN,montaña,montaña,NOUN,wordnet,1.0
4020,tubo,tubo,tube,NOUN,tubo,tubo,NOUN,exact,1.0
4027,piscina,piscina,pool,NOUN,piscina,piscina,NOUN,exact,1.0
4031,licenza,licenza,license,NOUN,licencia,licencia,NOUN,levenshtein,1.0
4036,faro,faro,lighthouse,NOUN,faro,faro,NOUN,exact,1.0
4042,dé,dé,of,ADP,de,de,ADP,exact,1.0
4055,ritmo,ritmo,rhythm,NOUN,ritmo,ritmo,NOUN,exact,1.0
4093,grano,grano,grain,NOUN,grano,grano,NOUN,exact,1.0
4099,biblioteca,biblioteca,library,NOUN,biblioteca,biblioteca,NOUN,exact,1.0
4100,banco,banco,bench,NOUN,banco,banco,NOUN,exact,1.0
4121,mar,mar,sea,AUX,mar,mar,NOUN,exact,1.0
4130,eliminare,eliminare,eliminate,VERB,eliminar,eliminar,VERB,levenshtein,1.0
4143,vitale,vitale,vital,ADJ,vital,vital,ADJ,levenshtein,1.0
4176,avventura,avventura,adventure,NOUN,aventura,aventura,NOUN,levenshtein,1.0
4196,positivo,positivo,positive,ADJ,positivo,positivo,ADJ,exact,1.0
4207,gordo,gordo,fat,ADJ,gordo,gordo,ADJ,exact,1.0
4218,apertura,apertura,opening,NOUN,apertura,apertura,NOUN,exact,1.0
4249,violento,violento,violent,ADJ,violento,violento,ADJ,exact,1.0
4250,veterinario,veterinario,veterinarian,NOUN,veterinario,veterinario,ADJ,exact,1.0
4254,sordo,sordo,deaf,ADJ,sordo,sordo,ADJ,exact,1.0
4293,fisico,fisico,physicist,ADJ,físico,físico,ADJ,exact,1.0
4296,disponibile,disponibile,available,ADJ,disponible,disponible,ADJ,levenshtein,1.0
4297,comunista,comunista,Communist,ADJ,comunista,comunista,ADJ,exact,1.0
4298,comunicare,comunicare,communicate,VERB,comunicar,comunicar,VERB,levenshtein,1.0
4325,invisibile,invisibile,invisible,ADJ,invisible,invisible,ADJ,levenshtein,1.0
4338,caos,caos,chaos,NOUN,caos,cao,NOUN,exact,1.0
4345,vomitare,vomitare,vomit,VERB,vomitar,vomitar,VERB,levenshtein,1.0
4350,señor,señor,sir,NOUN,señor,señor,NOUN,exact,1.0
4367,evidente,evidente,evident,ADJ,evidente,evidente,ADJ,exact,1.0
4387,recuperare,recuperare,recover,VERB,recuperar,recuperar,VERB,levenshtein,1.0
4388,procedere,procedere,proceed,VERB,proceder,proceder,VERB,levenshtein,1.0
4396,influenza,influenza,influence,NOUN,influencia,influencia,NOUN,levenshtein,1.0
4398,generoso,generoso,generous,ADJ,generoso,generoso,ADJ,exact,1.0
4408,clinica,clinica,clinic,NOUN,clínica,clínico,ADJ,exact,1.0
4410,cantante,cantante,singer,NOUN,cantante,cantante,NOUN,exact,1.0
4412,asilo,asilo,asylum,NOUN,asilo,asilo,NOUN,exact,1.0
4415,toro,toro,bull,NOUN,toro,toro,NOUN,exact,1.0
4418,sensibile,sensibile,sensitive,ADJ,sensible,sensible,ADJ,levenshtein,1.0
4426,pelo,pelo,fur,NOUN,pelo,pelo,NOUN,exact,1.0
4428,pacifico,pacifico,Pacific,ADJ,pacífico,pacífico,ADJ,exact,1.0
4448,conferenza,conferenza,conference,NOUN,conferencia,conferencia,PROPN,levenshtein,1.0
4458,tipico,tipico,typical,ADJ,típico,típico,ADJ,exact,1.0
4511,orbita,orbita,orbit,NOUN,órbita,órbita,NOUN,exact,1.0
4573,nucleo,nucleo,nucleus,NOUN,núcleo,núcleo,NOUN,exact,1.0
4575,magico,magico,magical,ADJ,mágico,mágico,ADJ,exact,1.0
4586,crema,crema,cream,NOUN,crema,crema,NOUN,exact,1.0
4625,francamente,francamente,frankly,ADV,francamente,francamente,ADV,exact,1.0
4649,pino,pino,pine,NOUN,pino,pino,NOUN,exact,1.0
4667,federale,federale,federal,ADJ,federal,federal,ADJ,levenshtein,1.0
4671,deposito,deposito,deposit,NOUN,depósito,depósito,NOUN,exact,1.0
4677,capitale,capitale,capital,NOUN,capital,capital,NOUN,levenshtein,1.0
4686,ansia,ansia,anxiety,NOUN,ansiedad,ansiedad,NOUN,wordnet,1.0
4700,metodo,metodo,method,NOUN,método,método,NOUN,exact,1.0
4736,norma,norma,norm,NOUN,norma,norma,NOUN,exact,1.0
4746,inevitabile,inevitabile,inevitable,ADJ,inevitable,inevitable,ADJ,levenshtein,1.0
4748,impedire,impedire,impede,VERB,impedir,impedir,VERB,levenshtein,1.0
4749,grecia,Grecia,Greece,PROPN,grecia,grecia,PROPN,exact,1.0
4766,aumentare,aumentare,increase,VERB,aumentar,aumentar,VERB,levenshtein,1.0
4780,salsa,salsa,sauce,NOUN,salsa,salsa,NOUN,exact,1.0
4788,musicale,musicale,musical,ADJ,musical,musical,ADJ,levenshtein,1.0
4832,precisamente,precisamente,precisely,ADV,precisamente,precisamente,ADV,exact,1.0
4842,continuamente,continuamente,continuously,ADV,continuamente,continuamente,ADV,exact,1.0
4853,adorabile,adorabile,adorable,ADJ,adorable,adorable,ADJ,levenshtein,1.0
4869,pero,pero,but,VERB,pero,pero,CCONJ,exact,1.0
4879,internazionale,internazionale,international,ADJ,internacional,internacional,ADJ,levenshtein,1.0
4891,divina,divino,divine,PRON,divino,divino,ADJ,exact,1.0
4898,candela,candela,candle,NOUN,vela,vela,NOUN,wordnet,1.0
4907,tigre,tigre,tiger,NOUN,tigre,tigre,NOUN,exact,1.0
4926,perdonare,perdonare,forgive,VERB,perdonar,perdonar,VERB,levenshtein,1.0
4958,vampiro,vampiro,vampire,PROPN,vampiro,vampiro,NOUN,exact,1.0
4979,modulo,modulo,module,NOUN,módulo,módulo,NOUN,exact,1.0
4981,materia,materia,matter,NOUN,asunto,asunto,NOUN,wordnet,1.0
4989,fenomeno,fenomeno,phenomenon,NOUN,fenómeno,fenómeno,NOUN,exact,1.0
4991,entusiasmo,entusiasmo,enthusiasm,NOUN,entusiasmo,entusiasmo,NOUN,exact,1.0
4733,particolarmente,particolarmente,particularly,ADV,particularmente,particularmente,ADV,levenshtein,0.9333333333333333
1566,immediatamente,immediatamente,immediately,ADV,inmediatamente,inmediatamente,ADV,levenshtein,0.9285714285714286
2895,guardiamarina,guardiamarina,midshipman,NOUN,guardia marina,guardia,PROPN,levenshtein,0.9285714285714286
3296,comportamento,comportamento,behavior,NOUN,comportamiento,comportamiento,NOUN,levenshtein,0.9285714285714286
964,assolutamente,assolutamente,absolutely,ADV,absolutamente,absolutamente,ADV,levenshtein,0.9230769230769231
1882,perfettamente,perfettamente,perfectly,ADV,perfectamente,perfectamente,ADV,levenshtein,0.9230769230769231
