rango,parola,lemma,inglese,pos,spagnolo,lemma_es,pos_es,match_type,levenshtein
878,programma,programma,plan,NOUN,plan,plan,PROPN,wordnet,0.2222222222222222
890,domande,domanda,requests,NOUN,peticiones,petición,NOUN,wordnet,0.09999999999999998
897,terribile,terribile,terrible,ADJ,horrible,horrible,ADJ,wordnet,0.75
899,oro,oro,gold,NOUN,oro,oro,NOUN,exact,1.0
914,interessante,interessante,Interesting,ADJ,interesante,interesante,ADJ,levenshtein,0.9166666666666666
922,treno,treno,train,NOUN,tren,tren,NOUN,levenshtein,0.8
925,impossibile,impossibile,impossible,ADJ,imposible,imposible,ADJ,levenshtein,0.9
927,vale,valere,it&#39;s worth it,VERB,vale la pena,valer,VERB,wordnet,0.33333333333333337
935,intorno,intorno,environment,ADV,ambiente,ambiente,NOUN,wordnet,0.125
943,calma,calma,calm,NOUN,calma,calma,NOUN,exact,1.0
953,mare,mare,sea,NOUN,mar,mar,NOUN,levenshtein,1.0
954,maestro,maestro,master,NOUN,maestro,maestro,NOUN,exact,1.0
956,pagare,pagare,pay,VERB,pagar,pagar,VERB,levenshtein,1.0
957,pianeta,pianeta,planet,NOUN,planeta,planeta,NOUN,levenshtein,0.8571428571428572
958,fronte,fronte,forehead,NOUN,frente,frente,ADV,levenshtein,0.8333333333333334
964,assolutamente,assolutamente,absolutely,ADV,absolutamente,absolutamente,ADV,levenshtein,0.9230769230769231
976,notizie,notizia,news,NOUN,noticias,noticia,NOUN,wordnet,0.75
978,bastardo,bastardo,Bastard,ADJ,bastardo,bastardo,NOUN,exact,1.0
981,incidente,incidente,accident,NOUN,accidente,accidente,NOUN,levenshtein,0.7777777777777778
986,grado,grado,degree,NOUN,grado,grado,NOUN,exact,1.0
990,contento,contento,happy,ADJ,feliz,feliz,ADJ,wordnet,0.125
993,santo,santo,holy,NOUN,santo,santo,NOUN,exact,1.0
996,speciale,speciale,special,ADJ,especial,especial,ADJ,levenshtein,0.875
998,posizione,posizione,position,NOUN,posición,posición,NOUN,levenshtein,0.875
1003,dolore,dolore,ache,NOUN,dolor,dolor,NOUN,levenshtein,0.8333333333333334
1004,bordo,bordo,edge,NOUN,borde,borde,NOUN,levenshtein,0.8
1012,dolce,dolce,Sweet,ADJ,dulce,dulce,ADJ,levenshtein,0.8
1013,medico,medico,doctor,NOUN,doctor,doctor,NOUN,wordnet,0.16666666666666663
1029,linea,linea,line,NOUN,línea,línea,NOUN,exact,1.0
1030,umano,umano,human,ADJ,humano,humano,ADJ,levenshtein,0.8333333333333334
1043,normale,normale,normal,ADJ,normal,normal,ADJ,levenshtein,1.0
1049,principe,principe,prince,NOUN,príncipe,príncipe,NOUN,exact,1.0
1059,nero,nero,black,ADJ,negro,negro,ADJ,levenshtein,0.8
1060,bianco,bianco,white,ADJ,blanco,blanco,ADJ,levenshtein,0.8333333333333334
1064,completamente,completamente,completely,ADV,completamente,completamente,ADV,exact,1.0
1065,necessario,necessario,necessary,ADJ,necesario,necesario,ADJ,levenshtein,0.9
1067,personale,personale,personal,ADJ,personal,personal,ADJ,levenshtein,1.0
1070,vino,vino,wine,NOUN,vino,venir,VERB,exact,1.0
1074,guardia,guardia,guard,NOUN,guardia,guardia,NOUN,exact,1.0
1075,errore,errore,mistake,NOUN,error,error,NOUN,levenshtein,0.8333333333333334
1083,zona,zona,area,NOUN,área,área,NOUN,wordnet,0.25
1098,duro,duro,hard,ADJ,duro,duro,ADJ,exact,1.0
1102,destino,destino,destiny,NOUN,destino,destino,NOUN,exact,1.0
1104,immagino,immagino,I imagine,VERB,imagino,imaginar,VERB,levenshtein,0.875
1105,centro,centro,center,NOUN,centro,centro,NOUN,exact,1.0
1110,forma,formare,form,VERB,forma,forma,NOUN,levenshtein,0.8333333333333334
1118,passi,passo,steps,NOUN,pasos,paso,NOUN,wordnet,0.6
1119,spazio,spazio,space,NOUN,espacio,espacio,NOUN,levenshtein,0.8571428571428572
1122,luna,luna,moon,NOUN,luna,luna,NOUN,exact,1.0
1127,speranza,speranza,hope,NOUN,esperanza,esperanza,NOUN,levenshtein,0.8888888888888888
1142,informazioni,informazione,information,NOUN,información,información,NOUN,levenshtein,0.9090909090909091
1159,omicidio,omicidio,homocide,NOUN,homocidio,homocidio,NOUN,levenshtein,0.7777777777777778
1164,visita,visita,visit,NOUN,visita,visita,NOUN,exact,1.0
1169,carne,carne,meat,NOUN,carne,carne,NOUN,exact,1.0
1174,tocca,toccare,touch,VERB,tocar,tocar,VERB,levenshtein,0.8333333333333334
1180,esperienza,esperienza,experience,NOUN,experiencia,experiencia,NOUN,levenshtein,0.9090909090909091
1182,differenza,differenza,difference,NOUN,diferencia,diferenciar,VERB,levenshtein,1.0
1188,intenzione,intenzione,intention,NOUN,intención,intención,NOUN,levenshtein,0.7777777777777778
1196,certamente,certamente,Certainly,ADV,ciertamente,ciertamente,ADV,levenshtein,0.9090909090909091
1198,regalo,regalo,gift,NOUN,regalo,regalo,NOUN,exact,1.0
1200,lista,lista,list,NOUN,lista,listo,ADJ,exact,1.0
1201,entro,entro,within,ADP,dentro,dentro,ADV,levenshtein,0.8333333333333334
1209,triste,triste,sad,ADJ,triste,triste,ADJ,exact,1.0
1211,soldati,soldato,soldiers,NOUN,soldados,soldado,NOUN,wordnet,0.75
1222,inferno,inferno,hell,NOUN,infierno,infierno,ADJ,levenshtein,0.875
1234,direttore,direttore,director,NOUN,director,director,NOUN,levenshtein,0.7777777777777778
1247,negozio,negozio,shop,NOUN,comercio,comercio,NOUN,wordnet,0.25
1256,adoro,adorare,I adore,VERB,adoro,adorar,VERB,wordnet,0.6666666666666667
1258,memoria,memoria,memory,NOUN,memoria,memoriar,VERB,exact,1.0
1261,intero,intero,entire,ADJ,completo,completo,ADJ,wordnet,0.25
1263,professore,professore,professor,NOUN,profesor,profesor,NOUN,levenshtein,0.8
1275,appartamento,appartamento,apartment,NOUN,departamento,departamento,NOUN,levenshtein,0.8333333333333334
1278,meraviglioso,meraviglioso,marvelous,ADJ,maravilloso,maravilloso,ADJ,levenshtein,0.8333333333333334
1281,comprare,comprare,buy,VERB,comprar,comprar,VERB,levenshtein,1.0
1285,ballare,ballare,dance,VERB,bailar,bailar,VERB,levenshtein,0.8333333333333334
1295,controllare,controllare,check,VERB,controlar,controlar,VERB,levenshtein,0.9
1296,classe,classe,class,NOUN,clase,clase,NOUN,levenshtein,0.8333333333333334
1306,segnale,segnale,signal,NOUN,señal,señal,NOUN,levenshtein,0.8
1311,reale,reale,real,ADJ,real,real,ADJ,levenshtein,1.0
1313,incontrato,incontrare,encountered,VERB,encontrado,encontrar,VERB,wordnet,0.7
1323,ufficiale,ufficiale,official,ADJ,oficial,oficial,ADJ,levenshtein,0.8571428571428572
1324,borsa,borsa,bag,NOUN,bolsa,bolsa,NOUN,levenshtein,0.8
1334,ovviamente,ovviamente,Obviously,ADV,obviamente,obviamente,ADV,levenshtein,0.9
1338,decisione,decisione,decision,NOUN,decisión,decisión,NOUN,levenshtein,0.875
1348,sicuramente,sicuramente,Surely,ADV,seguramente,seguramente,ADV,levenshtein,0.8181818181818181
1350,bar,bar,Cafe,NOUN,cafetería,cafetería,NOUN,wordnet,0.2222222222222222
1360,animali,animale,animals,ADJ,animales,animal,NOUN,wordnet,0.75
1367,rosa,rosa,rose,ADJ,rosa,rosa,PROPN,exact,1.0
1375,metri,metro,meters,NOUN,metros,metro,NOUN,levenshtein,0.8333333333333334
1383,teatro,teatro,theater,NOUN,teatro,teatro,NOUN,exact,1.0
1386,barca,barca,boat,NOUN,bote,bote,NOUN,wordnet,0.19999999999999996
1392,preferisco,preferire,I prefer,VERB,prefiero,preferir,VERB,wordnet,0.625
1393,vento,vento,wind,NOUN,viento,viento,NOUN,levenshtein,0.8333333333333334
1400,gloria,gloria,glory,NOUN,gloria,gloria,NOUN,exact,1.0
1408,dati,dato,data,VERB,datos,dato,NOUN,levenshtein,0.8
1411,contatto,contatto,contact,NOUN,contacto,contacto,NOUN,levenshtein,0.875
1414,regole,regola,rules,VERB,normas,norma,NOUN,wordnet,0.0
1420,saltare,saltare,jump,VERB,saltar,saltar,VERB,levenshtein,1.0
1424,bellezza,bellezza,beauty,NOUN,belleza,belleza,NOUN,levenshtein,0.875
1440,processo,processo,process,NOUN,proceso,proceso,NOUN,levenshtein,0.875
1444,contrario,contrario,opposite,ADJ,opuesto,opuesto,ADJ,wordnet,0.2222222222222222
1446,presente,presente,present,ADJ,presente,presente,ADJ,exact,1.0
1463,isola,isola,island,NOUN,isla,isla,NOUN,levenshtein,0.8
1484,cambio,cambio,exchange,NOUN,intercambio,intercambio,NOUN,wordnet,0.5454545454545454
1487,pietra,pietra,stone,NOUN,piedra,piedra,NOUN,levenshtein,0.8333333333333334
1499,emergenza,emergenza,emergency,NOUN,emergencia,emergencia,NOUN,levenshtein,1.0
1500,americano,americano,American,ADJ,americano,americano,ADJ,exact,1.0
1519,intelligente,intelligente,intelligent,ADJ,inteligente,inteligente,ADJ,levenshtein,0.9166666666666666
1526,carriera,carriera,career,NOUN,carrera,carrera,NOUN,levenshtein,0.875
1528,grave,grave,serious,ADJ,grave,grave,ADJ,exact,1.0
1534,fortunato,fortunato,lucky,ADJ,afortunado,afortunado,ADJ,levenshtein,0.8
1543,maledizione,maledizione,curse,NOUN,maldición,maldición,NOUN,levenshtein,0.8
1551,semplicemente,semplicemente,simply,ADV,simplemente,simplemente,ADV,levenshtein,0.7692307692307692
1557,innocente,innocente,innocent,ADJ,inocente,inocente,ADJ,levenshtein,0.8888888888888888
1561,costa,costare,it costs,VERB,cuesta,costar,VERB,wordnet,0.5
1563,ricco,ricco,rich,ADJ,rico,rico,ADJ,levenshtein,0.8
1566,immediatamente,immediatamente,immediately,ADV,inmediatamente,inmediatamente,ADV,levenshtein,0.9285714285714286
1576,arte,arte,art,NOUN,arte,arte,NOUN,exact,1.0
1597,relazione,relazione,relation,NOUN,relación,relación,NOUN,levenshtein,0.875
1603,documenti,documento,documents,NOUN,documentos,documento,NOUN,levenshtein,0.9
1608,orribile,orribile,horrible,ADJ,horrible,horrible,ADJ,levenshtein,0.875
1610,muro,muro,wall,NOUN,muro,muro,NOUN,exact,1.0
1612,condizioni,condizione,conditions,NOUN,condiciones,condición,NOUN,levenshtein,0.8181818181818181
1618,santa,santa,holy,PROPN,santo,santo,NOUN,levenshtein,0.8
1619,presenza,presenza,presence,NOUN,presencia,presencia,NOUN,levenshtein,1.0
1629,flotta,flotta,fleet,NOUN,flota,flota,NOUN,levenshtein,0.8333333333333334
1632,sentimenti,sentimento,feelings,NOUN,sentimientos,sentimiento,NOUN,levenshtein,0.8333333333333334
1633,sensazione,sensazione,sensation,NOUN,sensación,sensación,NOUN,levenshtein,0.8888888888888888
1634,corri,corrare,run,VERB,correr,correr,VERB,levenshtein,0.8333333333333334
1635,congratulazioni,congratulazione,Congratulations,NOUN,felicidades,felicidad,NOUN,wordnet,0.0714285714285714
1644,periodo,periodo,period,NOUN,período,período,NOUN,exact,1.0
1656,anello,anello,ring,NOUN,anillo,anillo,NOUN,levenshtein,0.8333333333333334
1661,vincenzo,vincenzo,Vincent,PROPN,vincenzo,vincenzo,NOUN,exact,1.0
1665,enorme,enorme,huge,ADJ,enorme,enorme,ADJ,exact,1.0
1674,gatto,gatto,cat,NOUN,gato,gato,NOUN,levenshtein,0.8
1685,fila,fila,line,NOUN,línea,línea,NOUN,wordnet,0.19999999999999996
1690,droga,droga,drug,NOUN,droga,droga,NOUN,exact,1.0
1694,cliente,cliente,customer,NOUN,cliente,cliente,NOUN,exact,1.0
1696,verde,verde,green,ADJ,verde,verde,ADJ,exact,1.0
1709,scendere,scendere,DESCEND,VERB,descender,descender,VERB,levenshtein,0.7777777777777778
1711,pazienza,pazienza,patience,NOUN,paciencia,paciencia,NOUN,levenshtein,0.8888888888888888
1715,denti,dente,teeth,NOUN,dientes,diente,NOUN,wordnet,0.7142857142857143
1719,volare,volare,fly,VERB,volar,volar,VERB,levenshtein,1.0
1720,militare,militare,military,ADJ,militar,militar,NOUN,levenshtein,1.0
1732,vittoria,vittoria,victory,NOUN,victoria,victoria,NOUN,levenshtein,0.875
1734,lana,lana,wool,NOUN,lana,lana,NOUN,exact,1.0
1735,importanza,importanza,importance,NOUN,importancia,importancia,NOUN,levenshtein,0.8181818181818181
1740,curvatura,curvatura,curvature,NOUN,curvatura,curvatura,NOUN,exact,1.0
1752,finale,finale,the final,ADJ,final,final,ADJ,levenshtein,1.0
1753,camminare,camminare,walk,VERB,caminar,caminar,VERB,levenshtein,0.875
1761,tiro,tiro,shot,NOUN,disparo,disparo,NOUN,wordnet,0.4285714285714286
1763,roma,Roma,Rome,PROPN,roma,roma,PROPN,exact,1.0
1766,notato,notare,noticed,VERB,observó,observar,VERB,wordnet,0.1428571428571429
1769,corte,corto,court,ADJ,corte,corte,NOUN,levenshtein,0.8
1772,responsabile,responsabile,responsible,ADJ,responsable,responsable,NOUN,levenshtein,1.0
1781,girare,girare,spin,VERB,girar,girar,VERB,levenshtein,1.0
1784,bomba,Bomba,bomb,NOUN,bomba,bomba,NOUN,exact,1.0
1790,creare,creare,create,VERB,crear,crear,VERB,levenshtein,1.0
1797,colore,colore,color,NOUN,color,color,NOUN,levenshtein,0.8333333333333334
1799,talento,talento,talent,NOUN,talento,talento,NOUN,exact,1.0
1803,peso,peso,weight,NOUN,peso,peso,NOUN,exact,1.0
1806,evitare,evitare,avoid,VERB,evitar,evitar,VERB,levenshtein,1.0
1810,naturale,naturale,natural,ADJ,natural,natural,ADJ,levenshtein,1.0
1812,famoso,famoso,famous,ADJ,famoso,famoso,ADJ,exact,1.0
1814,cento,cento,hundred,NUM,centenar,centenar,NOUN,wordnet,0.5
1815,cadere,cadere,fall,VERB,caer,caer,VERB,levenshtein,0.8
1829,breve,breve,brief,ADJ,breve,breve,ADJ,exact,1.0
1831,ottenere,ottenere,obtain,VERB,obtener,obtener,VERB,levenshtein,0.8571428571428572
1834,trucco,trucco,trick,NOUN,truco,truco,NOUN,levenshtein,0.8333333333333334
1836,locale,locale,local,ADJ,local,local,ADJ,levenshtein,1.0
1840,opinione,opinione,opinion,NOUN,opinión,opinión,NOUN,levenshtein,0.8571428571428572
1850,canta,cantare,sing,VERB,cantar,cantar,VERB,levenshtein,1.0
1853,interno,interno,internal,ADJ,interno,interno,ADJ,exact,1.0
1855,distanza,distanza,distance,NOUN,distancia,distancia,NOUN,levenshtein,0.7777777777777778
1861,mantenere,mantenere,maintain,VERB,mantener,mantener,VERB,levenshtein,1.0
1864,discorso,discorso,speech,NOUN,discurso,discurso,NOUN,levenshtein,0.875
1865,calmo,calmo,calm,ADJ,calma,calma,NOUN,levenshtein,0.8
1872,salire,salire,go out,VERB,salir,salir,VERB,levenshtein,1.0
1882,perfettamente,perfettamente,perfectly,ADV,perfectamente,perfectamente,ADV,levenshtein,0.9230769230769231
1887,preoccupato,preoccupato,worried,ADJ,preocupado,preocupado,ADJ,levenshtein,0.8181818181818181
1888,mentito,mentire,lied,VERB,mintió,mentir,VERB,wordnet,0.6666666666666667
1895,responsabilità,responsabilità,responsibility,NOUN,responsabilidad,responsabilidad,NOUN,levenshtein,0.8
1897,magnifico,magnifico,magnificent,ADJ,magnífico,magnífico,ADJ,exact,1.0
1902,cadavere,cadavere,dead body,NOUN,cadáver,cadáver,NOUN,levenshtein,0.8571428571428572
1904,operazione,operazione,operation,NOUN,operación,operación,NOUN,levenshtein,0.8888888888888888
1907,tecnologia,tecnologia,technology,NOUN,tecnología,tecnología,NOUN,exact,1.0
1908,porte,porta,doors,VERB,puertas,puerta,NOUN,wordnet,0.5714285714285714
1925,soluzione,soluzione,solution,NOUN,solución,solución,NOUN,levenshtein,0.875
1941,scudi,scudo,shields,NOUN,escudos,escudo,NOUN,wordnet,0.7142857142857143
1943,motore,motore,motor,NOUN,motor,motor,NOUN,levenshtein,0.8333333333333334
1945,genio,genio,genius,NOUN,genio,genio,NOUN,exact,1.0
1946,europa,Europa,Europe,PROPN,europa,europa,PROPN,exact,1.0
1948,creatura,creatura,creature,NOUN,criatura,criatura,PROPN,levenshtein,0.875
1955,potente,potente,powerful,ADJ,poderoso,poderoso,ADJ,wordnet,0.375
1956,particolare,particolare,particular,ADJ,particular,particular,ADJ,levenshtein,0.9
1964,centrale,centrale,central,ADJ,central,central,ADJ,levenshtein,1.0
1979,immaginare,immaginare,imagine,VERB,imaginar,imaginar,VERB,levenshtein,0.8888888888888888
1982,camion,camion,truck,NOUN,camión,camión,NOUN,exact,1.0
1992,nervoso,nervoso,nervous,ADJ,nervioso,nervioso,ADJ,levenshtein,0.875
2001,principale,principale,principal,ADJ,principal,principal,ADJ,levenshtein,1.0
2007,castello,castello,castle,NOUN,castillo,castillo,PROPN,levenshtein,0.875
2015,fabbrica,fabbrica,factory,NOUN,fábrica,fábrica,NOUN,wordnet,0.75
2017,valore,valore,value,NOUN,valor,valor,NOUN,levenshtein,0.8333333333333334
2029,grida,gridare,shout,VERB,gritar,gritar,VERB,levenshtein,0.8333333333333334
2034,laboratorio,laboratorio,laboratory,NOUN,laboratorio,laboratorio,NOUN,exact,1.0
2037,amante,amante,lover,NOUN,amante,amante,NOUN,exact,1.0
2038,vendere,vendere,sell,VERB,vender,vender,VERB,levenshtein,1.0
2048,continuo,continuo,continuous,ADJ,continuo,continuo,ADJ,exact,1.0
2049,tomba,tomba,tomb,NOUN,tumba,tumba,NOUN,levenshtein,0.8
2060,sensori,sensore,sensors,NOUN,sensores,sensor,NOUN,levenshtein,0.875
2061,premio,premio,prize,NOUN,premio,premio,PROPN,exact,1.0
2071,grazia,grazia,grace,NOUN,gracia,gracia,NOUN,levenshtein,0.8333333333333334
2072,esistenza,esistenza,existence,NOUN,existencia,existencia,NOUN,levenshtein,0.9
2080,proteggere,proteggere,to protect,VERB,proteger,proteger,VERB,levenshtein,0.8888888888888888
2082,pilota,pilota,pilot,NOUN,piloto,piloto,NOUN,levenshtein,0.8333333333333334
2083,paziente,paziente,patient,NOUN,paciente,paciente,ADJ,levenshtein,0.875
2087,assistente,assistente,assistant,NOUN,asistente,asistente,NOUN,levenshtein,0.9
2090,francia,Francia,France,PROPN,francia,francia,PROPN,exact,1.0
2092,diario,Diario,diary,NOUN,diario,diario,NOUN,exact,1.0
2109,violenza,violenza,violence,NOUN,violencia,violencia,NOUN,levenshtein,1.0
2119,tempio,tempio,temple,NOUN,templo,templo,NOUN,levenshtein,0.8333333333333334
