rango,parola,frequenza,lemma,inglese,it_reverse
366,dottore,1786,dottore,doctor,medico
367,quale,1778,quale,Which,Quale
368,abbastanza,1777,abbastanza,Enough,Abbastanza
369,tardi,1773,tardi,late,tardi
370,bel,1772,bello,nice,Carino
371,cuore,1770,cuore,Heart,Cuore
372,famiglia,1767,famiglia,family,famiglia
373,far,1766,fare,do,Fare
374,stati,1763,essere,States,stati
375,aiuto,1748,aiuto,help,aiuto
376,diavolo,1746,diavolo,devil,diavolo
377,nostri,1744,nostro,our,Nostro
378,col,1740,con il,with the,con il
379,quasi,1728,quasi,Almost,Quasi
380,polizia,1724,polizia,police,Polizia Stradale
381,capo,1718,capo,boss,capo
382,avrebbe,1718,avere,it would have,avrebbe
383,quei,1714,quello,those,quelli
384,mie,1713,mio,my,Mio
385,tornare,1711,tornare,return,ritorno
386,però,1706,però,However,Tuttavia
387,contro,1704,contro,against,contro
388,viene,1703,venire,he comes,lui viene
389,mentre,1703,mentre,While,Mentre
390,scusa,1687,scusare,Excuse me,Mi scusi
391,sola,1686,solo,alone,solo
392,spero,1681,sperere,I hope,Spero
393,quelle,1677,quello,those,quelli
394,trovare,1670,trovare,find,Trovare
395,giro,1665,giro,tour,tour
396,anch',1662,anch,too,pure
397,guerra,1658,guerra,war,guerra
398,sue,1657,suo,his,il suo
399,bambino,1654,bambino,child,bambino
400,strada,1638,strada,street,strada
401,vecchio,1635,vecchio,old,vecchio
402,fratello,1627,fratello,Brother,Fratello
403,acqua,1620,acqua,waterfall,cascata
404,stasera,1619,stasera,this evening,questa sera
405,pensavo,1614,pensare,I thought,ho pensato
406,chiama,1600,chiamare,who loves,chi ama
407,persona,1598,persona,person,persona
408,vedi,1593,vedere,you see,vedi
409,fu,1593,essere,it was,era
410,anno,1585,anno,year,anno
411,vostra,1584,vostro,yours,il tuo
412,veramente,1580,veramente,Truly,Veramente
413,finito,1578,finire,finished,finito
414,marito,1575,marito,Husband,Marito
415,minuti,1566,minuto,minutes,minuti
416,giù,1566,giù,below,sotto
417,donne,1562,donna,women,donne
418,bravo,1561,bravo,good boy,bravo ragazzo
419,bambini,1559,bambino,children,bambini
420,ricordi,1557,ricordo,memories,ricordi
421,quelli,1557,quello,those,quelli
422,state,1552,essere,stay,rimanere
423,ore,1552,ora,hours,ore
424,stavo,1549,stare,I was,Ero
425,dovuto,1549,dovere,due,dovuto
426,nemmeno,1545,nemmeno,neither,nessuno dei due
427,venuto,1543,venire,came,venni
428,indietro,1538,indietro,backwards,indietro
429,stessa,1537,stesso,itself,si
430,importa,1532,importare,it matters,importa
431,nessun,1531,nessuno,no,NO
432,punto,1529,punto,point,punto
433,invece,1521,invece,Instead,Invece
434,perso,1519,perdere,lost,perduto
435,possibile,1513,possibile,possible,possibile
436,ucciso,1510,uccidere,killed,ucciso
437,forte,1509,forte,strong,forte
438,pensato,1506,pensare,thought,Pensiero
439,dovrebbe,1506,dovere,should,Dovrebbe
440,pensa,1504,pensare,thinks,pensa
441,poco,1503,poco,little,poco
442,parla,1488,parlare,speaks,parla
443,farò,1478,fare,lighthouse,faro
444,cercando,1478,cercare,looking for,cercando
445,l,1477,l,L,l
446,verità,1470,verità,truth,verità
447,andato,1470,andare,left,Sinistra
448,quell',1450,quell,that&#39;,Quello&#39;
449,re,1448,Re,king,re
450,fanno,1444,fare,they do,loro fanno
451,potrei,1440,potere,I could,potrei
452,importante,1439,importante,important,importante
453,quest',1435,quest,this,Questo
454,amo,1433,amare,I love,io amo
455,chiesto,1432,chiedere,asked,chiesto
456,cosi,1429,coe si,Like this,Come questo
457,nelle,1424,in il,in,In
458,felice,1420,felice,happy,Contento
459,piedi,1418,piede,feet,piedi
460,merda,1415,merda,shit,merda
461,piccolo,1399,piccolo,small,piccolo
462,prendi,1392,prendere,you take,tu prendi
463,dietro,1391,dietro,behind,dietro
464,sapevo,1389,sapere,I knew,lo sapevo
465,buongiorno,1386,buongiorno,Good morning,Buongiorno
466,passato,1379,passare,past,passato
467,dollari,1371,dollaro,dollars,dollari
468,com',1371,com,how&#39;s it,com&#39;è
469,pure,1366,pure,mashed potato,purè
470,pensare,1360,pensare,think,pensare
471,cinque,1360,cinque,five,cinque
472,vicino,1357,vicino,Neighbor,Vicino
473,uscire,1353,uscire,go out,esci
474,conosco,1350,conoscere,I know,Lo so
475,verso,1344,verso,towards,in direzione
476,altre,1344,altro,other,altro
477,quattro,1342,quattro,four,quattro
478,morire,1338,morire,die,morire
479,sangue,1337,sangue,blood,sangue
480,john,1337,John,john,John
481,eri,1333,eri,you was,tu eri
482,almeno,1333,almeno,at least,almeno
483,dica,1325,dicere,say,Dire
484,lascia,1324,lasciare,leaves,foglie
485,vivere,1306,vivere,live,vivere
486,colpa,1303,colpa,guilt,colpevolezza
487,portato,1299,portare,carried,portato
488,entrare,1298,entrare,enter,accedere
489,ricordo,1297,ricordare,I remember,mi ricordo
490,pace,1278,pacere,peace,pace
491,roba,1277,roba,stuff,cose
492,Jack,1277,Jack,Jack,Jack
493,migliore,1276,migliore,improve,migliorare
494,fate,1276,fare,you do,fate
495,difficile,1273,difficile,difficult,difficile
496,settimana,1267,settimana,week,settimana
497,ultima,1266,ultimo,last,scorso
498,dovrei,1265,dovere,I should,dovrei
499,fatta,1264,fare,done,Fatto
500,conto,1252,conto,I count,io conto
501,stanza,1242,stanza,room,camera
502,fra,1240,fra,between,fra
503,comunque,1238,comunque,Anyway,Comunque
504,sentire,1235,sentire,feel,Tatto
505,numero,1234,numero,number,numero
506,parlato,1233,parlare,spoke,parlato
507,mente,1232,menta,mind,mente
508,messo,1231,mettere,put in order,mettere in ordine
509,strano,1219,strano,strange,strano
510,fortuna,1219,fortuna,fortune,fortuna
511,perdere,1217,perdere,LOSE,PERDERE
512,tue,1211,tuo,yours,il tuo
513,né,1211,né,neither,nessuno dei due
514,figlia,1210,figlio,Daughter,Figlia
515,molti,1200,molto,many,molti
516,volete,1199,volere,you want,tu vuoi
517,dottor,1194,dottore,Dr,Dott
518,parola,1193,parola,word,parola
519,signori,1188,signore,gentlemen,gentiluomini
520,andata,1186,andare,gone,andato
521,vista,1184,vedere,view,visualizzazione
522,vede,1181,vedere,you see,vedi
523,nessuna,1181,nessuno,none,nessuno
524,finché,1177,finché,until,Fino a
525,dare,1167,dare,give,Dare
526,dammi,1165,dammi,give me,dammi
527,mr,1164,mr,mr,Sig
528,mesi,1160,mese,months,mesi
529,fuoco,1160,fuoco,fire,fuoco
530,voleva,1156,volere,he wanted,lui voleva
531,mangiare,1156,mangiare,eat,mangiare
532,lasciato,1156,lasciare,left,Sinistra
533,figli,1156,figlio,children,bambini
534,serio,1153,serio,serious,serio
535,paese,1152,paese,village,villaggio
536,farà,1152,fare,will make,farà
537,capire,1151,capire,understand,capire
538,mezzo,1149,mezzo,half,metà
539,prova,1145,provare,trial,prova
540,cara,1137,caro,Dear,Caro
541,perche',1133,perca,Why&#39;,Perché&#39;
542,cane,1125,cane,dog,cane
543,dimmi,1123,Dimmi,Tell me,Dimmi
544,fossi,1120,fossare,I was,Ero
545,senso,1114,senso,sense,senso
546,james,1112,James,james,Giacomo
547,riesco,1111,riesco,I am able to,Io sono capace di
548,ieri,1111,ieri,Yesterday,Ieri
549,possa,1109,potere,can,Potere
550,potuto,1108,potere,could,Potevo
551,scuola,1101,scuola,school,scuola
552,s,1097,s,s,S
553,possono,1095,potere,can,Potere
554,lavorare,1093,lavorare,work,lavoro
555,significa,1092,significare,it means,significa
556,resto,1085,resto,rest,riposo
557,vada,1083,andare,go,andare
558,piccola,1083,piccolo,small,piccolo
559,pare,1081,parere,it seems,sembra
560,bere,1080,bere,drinking,potabile
561,ben,1079,bene,well,BENE
562,cena,1077,cena,dinner,cena
563,giovane,1075,giovane,young,giovane
564,problemi,1073,problema,problems,i problemi
565,quanti,1069,quanto,how many,quanti
566,gran,1066,Gran,great,Grande
567,attimo,1063,attimo,moment,momento
568,ascolta,1062,ascoltare,Listen,Ascoltare
569,agli,1060,a il,to,A
570,dovresti,1055,dovresti,you should,dovresti
571,corpo,1055,corpo,body,corpo
572,musica,1053,musica,music,musica
573,gioco,1053,gioco,game,gioco
574,qual,1051,quale,qual,qual
575,aria,1047,aria,air,aria
576,sarò,1045,essere,I will be,sarò
577,farmi,1045,fare mi,make me,fammi
578,magari,1044,magari,Perhaps,Forse
579,davanti,1044,davanti,in front of,di fronte a
580,new,1039,New,new,nuovo
581,chiamo,1039,chiamo,I&#39;ll call,chiamerò
582,genere,1037,genere,type ,tipo 
583,libro,1036,libro,book,libro
584,domanda,1036,domandare,request,richiesta
585,chiamato,1034,chiamare,called,chiamato
586,passare,1033,passare,pass,passaggio
587,dalle,1032,da il,give her,dalle
588,campo,1032,campo,field,campo
589,lungo,1028,lungo,long,lungo
590,torna,1027,tornare,come back,ritorno
591,paio,1027,paio,pair,paio
592,stava,1024,stare,was,era
593,finita,1023,finire,finished,finito
594,saranno,1022,essere,they will be,essi saranno
595,vogliono,1021,volere,they want,loro vogliono
596,hey,1020,hey,hey,EHI
597,cielo,1020,cielo,sky,cielo
598,parole,1016,parola,words,parole
599,auto,1016,auto,car,auto
600,sorella,1013,sorella,sister,sorella
601,nuova,1011,nuovo,new,nuovo
602,stia,1009,stia,stay,rimanere
603,signorina,1000,signorina,Miss,Mancare
604,festa,999,festa,party,festa
605,spiace,998,spiacere,sorry,Scusa
606,sopra,996,sopra,above,Sopra
607,bisogna,994,bisognare,must,dovere
608,vuol,993,volere,wants,vuole
609,telefono,993,telefono,telephone,telefono
610,affari,991,affare,business,Attività commerciale
611,facile,987,facile,easy,facile
612,parlando,977,parlare,speaking,A proposito di
613,caro,977,caro,Dear,Caro
614,sui,972,su il,on,SU
615,pronti,970,pronto,ready,pronto
616,restare,969,restare,remain,rimanere
617,attenzione,967,attenzione,Attention,Attenzione
618,crede,965,credere,you think,si pensa
619,nostre,961,nostro,our,Nostro
620,controllo,959,controllo,check,controllo
621,molte,957,molto,many,molti
622,unica,956,unico,unique,unico
623,dovremmo,956,dovere,we should,dovremmo
624,farti,955,fare ti,make you,ti rende
625,soltanto,950,soltanto,only,soltanto
626,piu',950,piu,more&#39;,Di più&#39;
627,buono,950,buono,Good,Bene
628,puttana,949,puttano,whore,puttana
629,vivo,947,vivo,I live,vivo
630,sappiamo,947,sapere,we know,sappiamo
631,luce,947,luce,light,leggero
632,generale,943,generale,general,generale
633,qualsiasi,941,qualsiasi,any,Qualunque
634,vogliamo,940,volere,we want,vogliamo
635,ultimo,939,ultimo,last,scorso
636,dicono,931,dire,they say,dicono
637,benissimo,931,bene,Very well,Ottimo
638,harry,930,harry,harry,Harry
639,foto,928,foto,photo,foto
640,unico,927,unico,unique,unico
641,onore,927,onore,honor,onore
642,ragazze,926,ragazza,girls,ragazze
643,scritto,925,scrivere,written,scritto
644,andate,925,andare,go,andare
645,tieni,920,tieni,here,Qui
646,siano,915,essere,they are,sono
647,ufficio,914,ufficio,office,ufficio
648,entra,914,entrare,enter,accedere
649,chiedo,906,chiedere,I ask,Chiedo
650,coraggio,904,coraggio,courage,coraggio
651,andando,904,andare,going,andando
652,venga,903,venire,come,Venire
653,dieci,902,dieci,ten,dieci
654,credevo,901,credere,I believed,ho creduto
655,voglia,894,voglia,wants,vuole
656,potremmo,891,potere,we could,potremmo
657,esatto,888,esatto,Exactly,Esattamente
658,credere,888,credere,believe,credere
659,tratta,882,trattare,deals with,si occupa di
660,eravamo,881,essere,we were,noi eravamo
661,arrivato,878,arrivare,arrived,arrivato
662,bambina,877,bambino,girl,ragazza
663,pistola,875,pistola,pistol,pistola
664,voce,874,voce,voice,voce
665,dormire,872,dormire,sleep,sonno
666,lasci,871,Lasci,leave,Partire
667,avessi,871,avere,I had,avevo
668,chiaro,870,chiaro,clear,chiaro
669,aspetto,868,aspettare,I wait,aspetto
670,squadra,867,squadra,squad,squadra
671,attento,867,attento,careful,attento
672,cerca,866,cercare,near,vicino
673,ordine,865,ordine,order,ordine
674,joey,862,Joey,joey,Joey
675,arrivederci,862,arrivedere ci,Until we meet again,Fino a quando ci incontriamo di nuovo
676,arriva,861,arrivare,he arrives,egli arriva
677,armi,861,arma,weapons,armi
678,sulle,860,su il,on,SU
679,ormai,860,ormai,at this point,a questo punto
680,maggiore,855,maggiore,greater,maggiore
681,fretta,855,fretta,rush,fretta
682,sarai,853,saere,you will be,sarai
683,sacco,852,sacco,sack,sacco
684,fatti,852,fare,facts,fatti
685,york,851,York,york,York
686,parli,850,parlare,you speak,parli
687,colpo,849,colpo,hit,colpo
688,sarei,846,sarei,I would be,Sarei
689,m',845,m,m&#39;,M&#39;
690,caffè,845,caffè,coffee,caffè
691,capisci,842,capisci,you understand,capisci
692,dicendo,840,dire,saying,detto
693,vostri,839,vostro,your,tuo
694,camera,837,Camera,room,camera
695,alcuni,837,alcuno,some,Alcuni
696,cercare,835,cercare,look for,cercare
697,arrivo,830,arrivo,I arrive,io arrivo
698,aspettare,829,aspettare,wait,Aspettare
699,situazione,828,situazione,situation,situazione
700,faremo,828,fare,we&#39;ll do it,lo faremo
701,deciso,828,decidere,decided,deciso
702,esattamente,827,esattamente,Exactly,Esattamente
703,dev',816,dev,must,dovere
704,addio,815,addio,Goodbye,Arrivederci
705,scena,812,scena,scene,scena
706,inglese,812,inglese,English,Inglese
707,perfetto,811,perfetto,Perfect,Perfetto
708,potete,810,potere,you can,puoi
709,fammi,808,fammi,do for me,fate per me
710,alto,807,alto,high,alto
711,dello,806,di il,of the,del
712,prendo,805,prendere,I take,prendo
713,conosci,805,conoscere,you know,Sai
714,be',805,be,well,BENE
715,sapete,802,sapere,you know,Sai
716,pazzo,802,pazzo,crazy,pazzo
717,chiami,802,chiamare,who do you Love,chi ami
718,tornato,801,tornare,got back,tornato
719,sicura,801,sicuro,safe,sicuro
720,lasciare,798,lasciare,leave,Partire
721,capelli,796,capello,hair,capelli
722,potere,795,potere,candies,caramelle
723,avevi,794,avevi,you had,avete avuto
724,morti,793,morto,dead,morto
725,avrà,793,avere,will have,avrà
726,fantastico,791,fantastico,Fantastic,Fantastico
727,matrimonio,788,matrimonio,marriage,matrimonio
728,passo,787,passare,step,fare un passo
729,portare,786,portare,bring,Portare
730,aspetti,786,aspetto,wait,Aspettare
731,torno,782,tornare,I&#39;ll be back,Tornerò
