rango,parola,frequenza,lemma,inglese,spagnolo,it_reverse
72,detto,10192,dire,said,dicho,disse
73,quello,9994,quello,that,eso,Quello
74,va,9985,andare,it goes,va,va
75,niente,9918,niente,Nothing,Nada,Niente
76,grazie,9755,grazie,Thank you,Gracias,Grazie
77,lui,9579,lui,he,él,Lui
78,voglio,9358,volere,I want,Quiero,Voglio
79,abbiamo,8984,avere,we have,tenemos,abbiamo
80,stato,8927,essere,state,estado,stato
81,nel,8849,in il,In the,En el,Nel
82,suo,8755,suo,his,su,il suo
83,dove,8739,dove,Where,Dónde,Dove
84,posso,8659,potere,I can,Puedo,Io posso
85,oh,8653,oh,Oh,Oh,OH
86,prima,8574,prima,Before,Antes,Prima
87,allora,8346,allora,At that time,En ese tiempo,A quel tempo
88,siamo,8337,essere,we are,somos,noi siamo
89,d',8323,d,d&#39;,d&#39;,D&#39;
90,uno,8290,uno,one,uno,uno
91,un',8236,uno,a,a,UN
92,sua,8233,suo,her,su,suo
93,tuo,8209,tuo,your,su,tuo
94,hanno,8202,avere,they have,ellos tienen,loro hanno
95,noi,8189,noi,we,nosotros,Noi
96,sta,8183,stare,is,es,È
97,fa,8121,fare,does,hace,fa
98,due,7954,due,two,dos,due
99,vuoi,7948,volere,you want,quieres,tu vuoi
100,ancora,7909,ancora,Still,Aún,Ancora
101,qualcosa,7611,qualcosa,something,algo,qualcosa
102,vero,7524,vero,True,Verdadero,VERO
103,casa,7523,casa,home,hogar,casa
104,sia,7446,essere,is,es,È
105,su,7426,su,on,en,SU
106,tua,7337,tuo,your,su,tuo
107,sempre,7312,sempre,Always,Siempre,Sempre
108,forse,6809,forse,Perhaps,Tal vez,Forse
109,dire,6642,dire,to say,decir,dire
110,vi,6614,vi,you,tú,Voi
111,loro,6570,loro,They,Ellos,Essi
112,i',6500,il,the&#39;,el&#39;,IL&#39;
113,altro,6458,altro,other,otro,altro
114,sai,6415,sai,you know,sabes,Sai
115,stai,6375,staare,you are,eres,sei
116,devo,6373,dovere,I have to,Tengo que,Devo
117,quella,6243,quello,that,eso,Quello
118,vita,6209,vita,life,vida,vita
119,quel,6133,quello,that,eso,Quello
120,delle,6047,di il,from the,desde el,dal
121,tempo,6027,tempo,time,tiempo,tempo
122,andare,5968,andare,go,ir,andare
123,certo,5915,certo,Certain,Cierto,Certo
124,poi,5884,poi,Then,Entonces,Poi
125,nella,5878,in il,in the,en el,nel
126,uomo,5866,uomo,man,hombre,Uomo
127,signore,5837,signore,Gentleman,Hidalgo,Signore
128,ad,5729,a,to,a,A
129,po',5678,poco,bit&#39;,poco&#39;,morso&#39;
130,può,5591,potere,can,poder,Potere
131,credo,5584,credere,I believe,Yo creo,Credo
132,voi,5572,voi,you,tú,Voi
133,già,5569,già,Already,Ya,Già
134,adesso,5553,adesso,Now,Ahora,Ora
135,andiamo,5534,andare,let&#39;s go,vamos,andiamo
136,anni,5436,anno,years,años,anni
137,all',5335,all,to,a,A
138,visto,5275,vedere,view,vista,visualizzazione
139,fuori,5165,fuori,out,afuera,fuori
140,proprio,5153,proprio,own,propio,Proprio
141,parte,5139,parte,part,parte,parte
142,davvero,5123,davvero,Really,En realidad,Veramente
143,vuole,5081,volere,wants,quiere,vuole
144,li,5070,li,there,allá,Là
145,dell',5062,dell,of the,del,del
146,sto,5056,stare,I&#39;m,Soy,Io sono
147,quanto,4986,quanto,How much,Cuánto,Quanto
148,volta,4943,volta,time,tiempo,tempo
149,via,4935,via,Street,Calle,Strada
150,sul,4859,su il,on the,sobre el,sul
151,é,4839,é,And,Y,E
152,dio,4819,Dio,God,Dios,Dio
153,sarà,4791,essere,will be,será,sarà
154,dopo,4752,dopo,After,Después,Dopo
155,senza,4674,senza,without,sin,senza
156,cose,4663,cosa,things,cosas,cose
157,nessuno,4612,nessuno,Nobody,Nadie,Nessuno
158,fai,4558,fare,you do,tú haces,fate
159,giorno,4556,giorno,day,día,giorno
160,ed,4552,e,and,y,E
161,meglio,4532,meglio,Better,Mejor,Meglio
162,padre,4512,padre,father,padre,padre
163,puoi,4465,potere,you can,puede,puoi
164,ciao,4424,ciao,HI,HOLA,CIAO
165,cos',4202,cos,what is it,¿qué es?,che cos&#39;è
166,devi,4168,dovere,you have to,tienes que,si deve
167,ecco,4149,ecco,Here you are,Aquí estás,Ecco
168,qualcuno,4116,qualcuno,someone,alguien,qualcuno
169,dal,4104,da il,from the,desde el,dal
170,lavoro,4102,lavoro,Work,Trabajar,Lavoro
171,sa,4096,sapere,you know,sabes,Sai
172,ai,4065,a il,to the,hacia,al
173,vedere,4037,vedere,see,ver,Vedere
174,ogni,4021,ogni,Everything is fine,Todo esta bien,Va tutto bene
175,ii,4001,ii,ii,ii,ii
176,troppo,3998,troppo,too,también,pure
177,posto,3980,posto,place,lugar,posto
178,cui,3939,cui,which,cual,Quale
179,tanto,3899,tanto,much,mucho,tanto
180,male,3894,male,bad,malo,Cattivo
181,dai,3893,da il,come on,vamos,Dai
182,ce,3893,ce,there is,hay,c&#39;è
183,bisogno,3880,bisogno,need,necesidad,Bisogno
184,signor,3837,signore,Mr,Señor,Sig
185,beh,3790,beh,Well,Bien,BENE
186,perchè,3748,perché,Why,Por qué,Perché
187,vieni,3729,vieni,You come,tu vienes,Tu vieni
188,alle,3724,a il,at,en,A
189,dalla,3723,da il,from the,desde el,dal
190,stata,3711,essere,was,era,era
191,tra,3671,tra,Between,Entre,Fra
192,vai,3664,vai,Go,Ir,Andare
193,ehi,3663,ehi,Hey,Ey,EHI
194,miei,3648,mio,my,mi,Mio
195,amico,3633,amico,Friend,Amigo,Amico
196,dice,3584,dire,He says,Él dice,Lui dice
197,sarebbe,3580,essere,would be,sería,sarebbe
198,avete,3577,avere,you have,tienes,hai
199,altra,3570,altro,other,otro,altro
200,deve,3567,dovere,needs to,necesita,deve
201,sulla,3539,su il,on the,sobre el,sul
202,qualche,3519,qualche,some,alguno,Alcuni
203,sembra,3438,sembrare,it seems,parece,sembra
204,gente,3405,gente,people,gente,persone
205,dobbiamo,3402,dovere,we have to,tenemos que,dobbiamo
206,modo,3390,modo,way,forma,modo
207,tre,3341,tre,Three,Tres,Tre
208,momento,3336,momento,moment,momento,momento
209,prego,3326,pregare,Please,Por favor,Per favore
210,parlare,3302,parlare,speak,hablar,parlare
211,mamma,3296,mamma,mom,mamá,mamma
212,guarda,3277,guardare,Look,Mirar,Aspetto
213,signora,3272,signore,Lady,Dama,Signora
214,grande,3267,grande,great,excelente,Grande
215,lì,3255,lì,there,allá,Là
216,madre,3196,madre,mother,madre,madre
217,possiamo,3176,potere,we can,podemos,noi possiamo
218,avanti,3158,avanti,after you,Después de usted,Dopo di te
219,avere,3146,avere,have,tener,Avere
220,successo,3145,successo,success,éxito,successo
221,ero,3124,essere,I was,Era,Ero
222,donna,3124,donna,woman,mujer,donna
223,nuovo,3121,nuovo,new,nuevo,nuovo
224,ah,3116,ah,ah,ah,ah
225,faccio,3087,fare,I do,sí,Io faccio
226,aveva,3084,avere,I had,Yo tenía,avevo
227,nostro,3081,nostro,our,nuestro,Nostro
228,degli,3067,di il,of the,del,del
229,questi,3048,questo,these,estos,questi
230,siete,3040,essere,you are,eres,sei
231,forza,3030,forza,Force,Fuerza,Forza
232,piace,2997,piacere,pleases,agrada,piace
233,bella,2984,bello,Pretty,Bonito,Bello
234,dov',2983,dov,where&#39;s,donde esta,dov &#39;è
235,soldi,2978,soldo,money,dinero,soldi
236,avevo,2974,avere,I had,Yo tenía,avevo
237,favore,2947,favore,favor,favor,favore
238,fosse,2930,essere,is,es,È
239,altri,2904,altro,others,otros,altri
240,dispiace,2902,dispiacere,sorry,Lo siento,Scusa
241,subito,2891,subito,right away,de inmediato,al momento
242,dentro,2873,dentro,inside,adentro,dentro
243,oggi,2867,oggi,Today,Hoy,Oggi
244,accordo,2857,accordo,agreement,acuerdo,accordo
245,tutta,2821,tutto,all,todo,Tutto
246,faccia,2793,fare,face,rostro,viso
247,nome,2782,nome,first name,nombre de pila,nome di battesimo
248,ok,2764,ok,ok,OK,OK
249,notte,2762,notte,Night,Noche,Notte
250,queste,2759,questo,these,estos,questi
251,figlio,2755,figlio,son,hijo,figlio
252,mondo,2747,mondo,world,mundo,mondo
253,nostra,2744,nostro,our,nuestro,Nostro
254,sapere,2738,sapere,know,saber,Sapere
255,vado,2732,vado,I go,Voy,io vado
256,tutte,2709,tutto,all,todo,Tutto
257,aspetta,2707,aspettare,Wait,Esperar,Aspettare
258,amore,2695,amore,Love,Amar,Amore
259,moglie,2688,moglie,wife,esposa,moglie
260,sicuro,2673,sicuro,Safe,Seguro,Sicuro
261,suoi,2637,suo,his,su,il suo
262,penso,2635,pensare,I think,Creo,Penso
263,paura,2635,paura,fear,miedo,Paura
264,idea,2631,idea,idea,idea,idea
265,testa,2605,testa,head,cabeza,Testa
266,papà,2585,papà,Pope,Papa,Papa
267,giusto,2583,giusto,Right,Bien,Giusto
268,eh,2575,eh,eh,eh,eh
269,vorrei,2574,volere,I would like,Me gustaría,mi piacerebbe
270,senti,2566,sentire,listen,escuchar,Ascoltare
271,presto,2551,presto,Soon,Pronto,Presto
272,uomini,2546,uomo,men,hombres,uomini
273,ll,2542,Ll,ll,todos,LL
274,basta,2536,bastare,Enough,Suficiente,Abbastanza
275,potrebbe,2530,potere,could be,podría ser,potrebbe essere
276,stesso,2527,stesso,same,mismo,Stesso
277,avuto,2521,avere,had,tenía,avevo
278,porta,2516,portare,brings,trae,porta
279,erano,2486,essere,they were,Ellos eran,Li avevamo
280,stare,2483,stare,to stay,quedarse,stare
281,buona,2467,buono,Good,Bien,Bene
282,quindi,2440,quindi,Therefore,Por lo tanto,Perciò
283,farlo,2434,fare lo,to do it,para hacerlo,per farlo
284,appena,2426,appena,as soon as,tan pronto como,non appena
285,abbia,2422,avere,have,tener,Avere
286,ragione,2417,ragione,reason,razón,motivo
287,sentito,2400,sentire,sense,sentido,senso
288,ragazzi,2365,ragazzo,Boys,Niños,Ragazzi
289,domani,2350,domani,Tomorrow,Mañana,Domani
290,ragazza,2336,ragazzare,lass,muchacha,ragazza
291,ragazzo,2332,ragazzo,lad,muchacho,ragazzo
292,insieme,2329,insieme,Together,Juntos,Insieme
293,sotto,2324,sotto,under,bajo,Sotto
294,volevo,2318,volere,I wanted,quise,volevo
295,pronto,2318,pronto,ready,listo,pronto
296,nei,2317,in il,in the,en el,nel
297,ciò,2305,ciò,that is,eso es,questo è
298,volte,2295,volta,times,veces,volte
299,capito,2289,capire,Understood,Comprendido,Inteso
300,succede,2288,succedere,happens,sucede,accade
301,preso,2284,prendere,taken ,tomado ,preso 
302,facendo,2282,fare,doing,haciendo,facendo
303,piacere,2260,piacere,Pleasure,Placer,Piacere
304,morto,2244,morire,died,fallecido,morto
305,tuoi,2217,tuo,yours,tuyo,il tuo
306,capitano,2215,capitare,captain,capitán,Capitano
307,letto,2205,leggere,Bed,Cama,Letto
308,storia,2197,storia,history,historia,storia
309,caso,2180,caso,case,caso,caso
310,trovato,2167,trovare,found,encontró,trovato
311,amici,2115,amico,friends,amigos,amici
312,venire,2109,venire,come,venir,Venire
313,dico,2108,dire,I say,yo digo,dico
314,capisco,2104,capiscere,I understand,Entiendo,Capisco
315,problema,2096,problema,problem,problema,problema
316,fino,2095,fino,until,hasta,Fino a
317,tipo,2093,tipo,guy,chico,tipo
318,là,2090,là,there,allá,Là
319,qua,2085,qua,here,aquí,Qui
320,pensi,2073,pensare,think,pensar,pensare
321,aver,2070,avere,have,tener,Avere
322,giorni,2066,giorno,days,días,giorni
323,cazzo,2065,cazzo,fuck,Mierda,Fanculo
324,okay,2062,okay,okay,bueno,Va bene
325,nulla,2057,nulla,Nothing,Nada,Niente
326,bello,2056,bello,Handsome,Elegante,Bello
327,persone,2051,persona,people,gente,persone
328,buon,2022,buono,Good,Bien,Bene
329,terra,2020,terra,Earth,Tierra,Terra
330,ia,2009,ia,ia,I a,e.a
331,dato,1995,dare,given,dado,dato
332,secondo,1986,secondo,second,segundo,secondo
333,film,1981,film,movie,película,film
334,nell',1964,nell,in the&#39;,en el&#39;,nel&#39;
335,mano,1958,mano,hand,mano,mano
336,facciamo,1947,fare,we do,hacemos,noi facciamo
337,vediamo,1927,vedere,We see,Vemos,Vediamo
338,vedo,1924,vedere,I see,Veo,Vedo
339,stanno,1924,stare,they are,ellos son,sono
340,avrei,1917,avere,I would have,Quisiera,Avrei
341,prendere,1915,prendere,take,llevar,Prendere
342,dici,1914,dici,you say,tu dices,tu dici
343,serve,1913,servire,it helps,ayuda,aiuta
344,morte,1904,morire,death,muerte,morte
345,meno,1900,meno,less,menos,meno
346,città,1894,città,city,ciudad,città
347,occhi,1876,occhio,eyes,ojos,occhi
348,fine,1870,fine,end,fin,FINE
349,sig,1868,sig,Mr,Señor,Sig
350,ê,1852,ê,And,Y,E
351,tesoro,1843,tesoro,treasure,tesoro,tesoro
352,scusi,1842,scusi,Excuse me,Disculpe,Mi scusi
353,primo,1839,primo,first,primero,Primo
354,credi,1835,credere,believe,creer,credere
355,salve,1829,salvo,Greetings,Saludos,Saluti
356,nave,1824,nave,ship,barco,nave
357,stiamo,1822,stare,we are,somos,noi siamo
358,sera,1815,sera,evening,noche,sera
359,piano,1809,piano,floor,piso,pavimento
360,sento,1805,sentire,I feel,Siento,io sento
361,macchina,1805,macchina,machine,máquina,macchina
362,vostro,1800,vostro,your,su,tuo
363,mani,1799,mano,hands,manos,mani
364,neanche,1796,neanche,not even,ni siquiera,nemmeno
365,dall',1794,dall,from,de,da
366,dottore,1786,dottore,doctor,doctor,medico
367,quale,1778,quale,Which,Cual,Quale
368,abbastanza,1777,abbastanza,Enough,Suficiente,Abbastanza
369,tardi,1773,tardi,late,tarde,tardi
370,bel,1772,bello,nice,lindo,Carino
371,cuore,1770,cuore,Heart,Corazón,Cuore
372,famiglia,1767,Famiglia,family,familia,famiglia
373,far,1766,fare,do,hacer,Fare
374,stati,1763,essere,States,Estados,stati
375,aiuto,1748,aiuto,help,ayuda,aiuto
376,diavolo,1746,diavolo,devil,demonio,diavolo
377,nostri,1744,nostro,our,nuestro,Nostro
378,col,1740,con il,with the,con el,con il
379,quasi,1728,quasi,Almost,Casi,Quasi
380,polizia,1724,polizia,police,policía,Polizia Stradale
381,capo,1718,capo,boss,jefe,capo
382,avrebbe,1718,avere,it would have,tendría,avrebbe
383,quei,1714,quello,those,aquellos,quelli
384,mie,1713,mio,my,mi,Mio
385,tornare,1711,tornare,return,devolver,ritorno
386,però,1706,però,However,Sin embargo,Tuttavia
387,contro,1704,contro,against,contra,contro
388,viene,1703,venire,he comes,él viene,lui viene
389,mentre,1703,mentre,While,Mientras,Mentre
390,scusa,1687,scusa,Excuse me,Disculpe,Mi scusi
391,sola,1686,solo,alone,solo,solo
392,spero,1681,sperare,I hope,Espero,Spero
393,quelle,1677,quello,those,aquellos,quelli
394,trovare,1670,trovare,find,encontrar,Trovare
395,giro,1665,Giro,tour,recorrido,tour
396,anch',1662,anch,too,también,pure
397,guerra,1658,guerra,war,guerra,guerra
398,sue,1657,suo,his,su,il suo
399,bambino,1654,bambino,child,niño,bambino
400,strada,1638,strada,street,calle,strada
401,vecchio,1635,vecchio,old,viejo,vecchio
402,fratello,1627,fratello,Brother,Hermano,Fratello
403,acqua,1620,acqua,waterfall,cascada,cascata
404,stasera,1619,stasera,this evening,esta noche,questa sera
405,pensavo,1614,pensare,I thought,Pensé,ho pensato
406,chiama,1600,chiamare,who loves,quien ama,chi ama
407,persona,1598,persone,person,persona,persona
408,vedi,1593,vedere,you see,verás,vedi
409,fu,1593,essere,it was,fue,era
410,anno,1585,anno,year,año,anno
411,vostra,1584,vostro,yours,tuyo,il tuo
412,veramente,1580,veramente,Truly,Realmente,Veramente
413,finito,1578,finire,finished,finalizado,finito
414,marito,1575,marito,Husband,Marido,Marito
415,minuti,1566,minuto,minutes,minutos,minuti
416,giù,1566,giù,below,abajo,sotto
417,donne,1562,donna,women,mujer,donne
418,bravo,1561,brare,good boy,buen chico,bravo ragazzo
419,bambini,1559,bambino,children,niños,bambini
420,ricordi,1557,ricordo,memories,recuerdos,ricordi
421,quelli,1557,quello,those,aquellos,quelli
422,state,1552,essere,stay,permanecer,rimanere
423,ore,1552,ora,hours,horas,ore
424,stavo,1549,stare,I was,Era,Ero
425,dovuto,1549,dovere,due,pendiente,dovuto
426,nemmeno,1545,nemmeno,neither,ni,nessuno dei due
427,venuto,1543,venire,came,vino,venni
428,indietro,1538,indietro,backwards,hacia atrás,indietro
429,stessa,1537,stesso,itself,sí mismo,si
430,importa,1532,importare,it matters,importa,importa
431,nessun,1531,nessuno,no,No,NO
432,punto,1529,punto,point,punto,punto
433,invece,1521,invece,Instead,En cambio,Invece
434,perso,1519,perdere,lost,perdido,perduto
435,possibile,1513,possibile,possible,posible,possibile
436,ucciso,1510,uccidere,killed,delicado,ucciso
437,forte,1509,forte,strong,fuerte,forte
438,pensato,1506,pensare,thought,pensamiento,Pensiero
439,dovrebbe,1506,dovere,should,debería,Dovrebbe
440,pensa,1504,pensare,thinks,piensa,pensa
441,poco,1503,poco,little,pequeño,poco
442,parla,1488,parlare,speaks,habla,parla
443,farò,1478,fare,lighthouse,faro,faro
444,cercando,1478,cercare,looking for,Buscando,cercando
445,l,1477,l,L,l,l
446,verità,1470,verità,truth,verdad,verità
447,andato,1470,andare,left,izquierda,Sinistra
448,quell',1450,quell,that&#39;,eso&#39;,Quello&#39;
449,re,1448,re,king,rey,re
450,fanno,1444,fare,they do,ellas hacen,loro fanno
451,potrei,1440,potere,I could,pude,potrei
452,importante,1439,importante,important,importante,importante
453,quest',1435,quest,this,este,Questo
454,amo,1433,amare,I love,Amo,io amo
455,chiesto,1432,chiedere,asked,preguntó,chiesto
456,cosi,1429,cosi,Like this,Como esto,Come questo
457,nelle,1424,in il,in,en,In
458,felice,1420,felice,happy,feliz,Contento
459,piedi,1418,piede,feet,pies,piedi
460,merda,1415,Merda,shit,mierda,merda
461,piccolo,1399,piccolo,small,pequeño,piccolo
462,prendi,1392,prendere,you take,usted toma,tu prendi
463,dietro,1391,dietro,behind,detrás,dietro
464,sapevo,1389,sapere,I knew,yo sabía,lo sapevo
465,buongiorno,1386,Buongiorno,Good morning,Buen día,Buongiorno
466,passato,1379,passare,past,pasado,passato
467,dollari,1371,dollaro,dollars,dolares,dollari
468,com',1371,com,how&#39;s it,Cómo es,com&#39;è
469,pure,1366,pure,mashed potato,puré de patatas,purè
470,pensare,1360,pensare,think,pensar,pensare
471,cinque,1360,cinque,five,cinco,cinque
472,vicino,1357,vicino,Neighbor,Vecino,Vicino
473,uscire,1353,uscire,go out,salir,esci
474,conosco,1350,conoscere,I know,Sé,Lo so
475,verso,1344,verso,towards,hacia,in direzione
476,altre,1344,altro,other,otro,altro
477,quattro,1342,quattro,four,cuatro,quattro
478,morire,1338,morire,die,morir,morire
479,sangue,1337,sangue,blood,sangre,sangue
480,john,1337,John,john,John,John
481,eri,1333,eri,you was,eras,tu eri
482,almeno,1333,almeno,at least,al menos,almeno
483,dica,1325,dicare,say,decir,Dire
484,lascia,1324,lasciare,leaves,hojas,foglie
485,vivere,1306,vivere,live,vivir,vivere
486,colpa,1303,colpa,guilt,culpa,colpevolezza
487,portato,1299,portare,carried,transportado,portato
488,entrare,1298,entrare,enter,ingresar,accedere
489,ricordo,1297,ricordo,I remember,Recuerdo,mi ricordo
490,pace,1278,pace,peace,paz,pace
491,roba,1277,roba,stuff,cosa,cose
492,Jack,1277,Jack,Jack,Jacobo,Jack
493,migliore,1276,migliore,improve,mejorar,migliorare
494,fate,1276,fare,you do,tú haces,fate
495,difficile,1273,difficile,difficult,difícil,difficile
496,settimana,1267,settimana,week,semana,settimana
497,ultima,1266,ultimo,last,último,scorso
498,dovrei,1265,dovrei,I should,Yo debería,dovrei
499,fatta,1264,fare,done,hecho,Fatto
500,conto,1252,conto,I count,Yo cuento,io conto
501,stanza,1242,stanza,room,habitación,camera
502,fra,1240,fra,between,entre,fra
503,comunque,1238,comunque,Anyway,De todos modos,Comunque
504,sentire,1235,sentire,feel,sentir,Tatto
505,numero,1234,numero,number,número,numero
506,parlato,1233,parlare,spoke,habló,parlato
507,mente,1232,menta,mind,mente,mente
508,messo,1231,mettere,put in order,Poner en orden,mettere in ordine
509,strano,1219,strano,strange,extraño,strano
510,fortuna,1219,fortuna,fortune,fortuna,fortuna
511,perdere,1217,perdere,LOSE,PERDER,PERDERE
512,tue,1211,tuo,yours,tuyo,il tuo
513,né,1211,né,neither,ni,nessuno dei due
514,figlia,1210,figlio,Daughter,Hija,Figlia
515,molti,1200,molto,many,muchos,molti
516,volete,1199,volere,you want,quieres,tu vuoi
517,dottor,1194,dottore,Dr,Dr,Dott
518,parola,1193,parola,word,palabra,parola
519,signori,1188,signore,gentlemen,caballeros,gentiluomini
520,andata,1186,andare,gone,desaparecido,andato
521,vista,1184,vedere,view,vista,visualizzazione
522,vede,1181,vedere,you see,verás,vedi
523,nessuna,1181,nessuno,none,ninguno,nessuno
524,finché,1177,finché,until,hasta,Fino a
525,dare,1167,dare,give,dar,Dare
526,dammi,1165,dammi,give me,dame,dammi
527,mr,1164,mr,mr,señor,Sig
528,mesi,1160,mese,months,meses,mesi
529,fuoco,1160,fuoco,fire,fuego,fuoco
530,voleva,1156,volere,he wanted,él quería,lui voleva
531,mangiare,1156,mangiare,eat,comer,mangiare
532,lasciato,1156,lasciare,left,izquierda,Sinistra
533,figli,1156,figlio,children,niños,bambini
534,serio,1153,serio,serious,grave,serio
535,paese,1152,paese,village,aldea,villaggio
536,farà,1152,fare,will make,hará,farà
537,capire,1151,capire,understand,entender,capire
538,mezzo,1149,mezzo,half,medio,metà
539,prova,1145,provare,trial,ensayo,prova
540,cara,1137,caro,Dear,Estimado,Caro
541,perche',1133,perca,Why&#39;,Por qué&#39;,Perché&#39;
542,cane,1125,cane,dog,perro,cane
543,dimmi,1123,dimmi,Tell me,Dime,Dimmi
544,fossi,1120,fosso,I was,Era,Ero
545,senso,1114,senso,sense,sentido,senso
546,james,1112,James,james,Jaime,Giacomo
547,riesco,1111,riesco,I am able to,soy capaz de,Io sono capace di
548,ieri,1111,ieri,Yesterday,Ayer,Ieri
549,possa,1109,potere,can,poder,Potere
550,potuto,1108,potere,could,podría,Potevo
551,scuola,1101,scuola,school,escuela,scuola
552,s,1097,s,s,s,S
553,possono,1095,potere,can,poder,Potere
554,lavorare,1093,lavorare,work,trabajar,lavoro
555,significa,1092,significare,it means,significa,significa
556,resto,1085,resto,rest,descansar,riposo
557,vada,1083,andare,go,ir,andare
558,piccola,1083,piccolo,small,pequeño,piccolo
559,pare,1081,parere,it seems,parece,sembra
560,bere,1080,bere,drinking,Bebiendo,potabile
561,ben,1079,bene,well,Bueno,BENE
562,cena,1077,cena,dinner,cena,cena
563,giovane,1075,giovane,young,joven,giovane
564,problemi,1073,problema,problems,problemas,i problemi
565,quanti,1069,quanto,how many,cuántos,quanti
566,gran,1066,Gran,great,excelente,Grande
567,attimo,1063,attimo,moment,momento,momento
568,ascolta,1062,ascoltare,Listen,Escuchar,Ascoltare
569,agli,1060,a il,to,a,A
570,dovresti,1055,dovresti,you should,debería,dovresti
571,corpo,1055,Corpo,body,cuerpo,corpo
572,musica,1053,musica,music,música,musica
573,gioco,1053,gioco,game,juego,gioco
574,qual,1051,quale,qual,calidad,qual
575,aria,1047,aria,air,aire,aria
576,sarò,1045,essere,I will be,seré,sarò
577,farmi,1045,fare mi,make me,Hazme,fammi
578,magari,1044,magari,Perhaps,Tal vez,Forse
579,davanti,1044,davanti,in front of,delante de,di fronte a
580,new,1039,New,new,nuevo,nuovo
581,chiamo,1039,chiamere,I&#39;ll call,Llamaré,chiamerò
582,genere,1037,genere,type ,tipo ,tipo 
583,libro,1036,libro,book,libro,libro
584,domanda,1036,domanda,request,pedido,richiesta
585,chiamato,1034,chiamare,called,llamado,chiamato
586,passare,1033,passare,pass,aprobar,passaggio
587,dalle,1032,da il,give her,darle,dalle
588,campo,1032,campo,field,campo,campo
589,lungo,1028,lungo,long,largo,lungo
590,torna,1027,tornare,come back,regresar,ritorno
591,paio,1027,paio,pair,par,paio
592,stava,1024,stare,was,era,era
593,finita,1023,finire,finished,finalizado,finito
594,saranno,1022,essere,they will be,ellos estarán,essi saranno
595,vogliono,1021,volere,they want,ellos quieren,loro vogliono
596,hey,1020,hey,hey,ey,EHI
597,cielo,1020,cielo,sky,cielo,cielo
598,parole,1016,parola,words,palabras,parole
599,auto,1016,auto,car,auto,auto
600,sorella,1013,sorella,sister,hermana,sorella
601,nuova,1011,nuovo,new,nuevo,nuovo
602,stia,1009,stare,stay,permanecer,rimanere
603,signorina,1000,signorina,Miss,Extrañar,Mancare
604,festa,999,festa,party,fiesta,festa
605,spiace,998,spiacere,sorry,Lo siento,Scusa
606,sopra,996,sopra,above,arriba,Sopra
607,bisogna,994,bisognare,must,debe,dovere
608,vuol,993,volere,wants,quiere,vuole
